time,mean_G
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.002
9,0.002
10,0.004
11,0.006
12,0.01
13,0.012
14,0.016
15,0.016
16,0.016
17,0.02
18,0.022
19,0.026
20,0.032
21,0.034
22,0.04
23,0.044
24,0.048
25,0.05
26,0.052
27,0.058
28,0.07
29,0.076
30,0.084
31,0.102
32,0.114
33,0.124
34,0.138
35,0.148
36,0.154
37,0.164
38,0.186
39,0.204
40,0.23
41,0.246
42,0.266
43,0.302
44,0.33
45,0.352
46,0.382
47,0.402
48,0.426
49,0.426
50,0.446
51,0.484
52,0.512
53,0.534
54,0.552
55,0.558
56,0.586
57,0.63
58,0.65
59,0.668
60,0.7
61,0.73
62,0.776
63,0.802
64,0.836
65,0.858
66,0.906
67,0.952
68,1.004
69,1.038
70,1.072
71,1.124
72,1.148
73,1.17
74,1.212
75,1.244
76,1.288
77,1.336
78,1.382
79,1.402
80,1.438
81,1.474
82,1.538
83,1.6
84,1.656
85,1.706
86,1.732
87,1.794
88,1.84
89,1.882
90,1.928
91,1.95
92,1.988
93,2.036
94,2.068
95,2.082
96,2.12
97,2.2
98,2.25
99,2.288
100,2.334
101,2.374
102,2.424
103,2.474
104,2.558
105,2.624
106,2.668
107,2.728
108,2.756
109,2.816
110,2.876
111,2.93
112,3.006
113,3.052
114,3.104
115,3.176
116,3.24
117,3.302
118,3.366
119,3.444
120,3.496
121,3.538
122,3.574
123,3.636
124,3.708
125,3.766
126,3.818
127,3.872
128,3.956
129,4.046
130,4.082
131,4.152
132,4.21
133,4.288
134,4.35
135,4.416
136,4.502
137,4.586
138,4.642
139,4.694
140,4.724
141,4.766
142,4.828
143,4.9
144,5.022
145,5.078
146,5.172
147,5.23
148,5.318
149,5.348
150,5.436
151,5.526
152,5.606
153,5.662
154,5.73
155,5.802
156,5.896
157,5.944
158,6.002
159,6.084
160,6.15
161,6.196
162,6.238
163,6.28
164,6.334
165,6.416
166,6.468
167,6.512
168,6.6
169,6.66
170,6.744
171,6.806
172,6.902
173,6.932
174,7.004
175,7.082
176,7.186
177,7.242
178,7.354
179,7.426
180,7.512
181,7.612
182,7.732
183,7.8
184,7.906
185,7.998
186,8.1
187,8.216
188,8.296
189,8.428
190,8.496
191,8.582
192,8.702
193,8.774
194,8.834
195,8.87
196,8.932
197,8.986
198,9.042
199,9.116
200,9.212
201,9.278
202,9.338
203,9.42
204,9.514
205,9.586
206,9.654
207,9.714
208,9.828
209,9.946
210,9.994
211,10.086
212,10.186
213,10.26
214,10.374
215,10.452
216,10.558
217,10.624
218,10.7
219,10.812
220,10.894
221,10.956
222,11.06
223,11.132
224,11.252
225,11.34
226,11.402
227,11.478
228,11.574
229,11.692
230,11.796
231,11.898
232,11.992
233,12.074
234,12.132
235,12.258
236,12.356
237,12.436
238,12.552
239,12.656
240,12.72
241,12.806
242,12.962
243,13.084
244,13.238
245,13.27
246,13.356
247,13.406
248,13.456
249,13.554
250,13.628
251,13.682
252,13.762
253,13.824
254,13.898
255,13.932
256,14.016
257,14.122
258,14.232
259,14.344
260,14.44
261,14.514
262,14.648
263,14.754
264,14.878
265,14.938
266,15.052
267,15.156
268,15.29
269,15.404
270,15.524
271,15.638
272,15.696
273,15.8
274,15.904
275,16.004
276,16.064
277,16.14
278,16.186
279,16.238
280,16.308
281,16.424
282,16.504
283,16.57
284,16.646
285,16.718
286,16.818
287,16.908
288,16.984
289,17.084
290,17.148
291,17.282
292,17.354
293,17.418
294,17.514
295,17.588
296,17.686
297,17.702
298,17.84
299,17.962
300,18.026
301,18.092
302,18.234
303,18.346
304,18.422
305,18.512
306,18.656
307,18.778
308,18.85
309,18.948
310,18.986
311,19.092
312,19.226
313,19.312
314,19.366
315,19.47
316,19.586
317,19.686
318,19.792
319,19.846
320,19.956
321,20.056
322,20.142
323,20.312
324,20.364
325,20.422
326,20.516
327,20.562
328,20.68
329,20.766
330,20.918
331,21.006
332,21.142
333,21.23
334,21.384
335,21.478
336,21.536
337,21.654
338,21.752
339,21.844
340,21.954
341,22.066
342,22.16
343,22.248
344,22.364
345,22.476
346,22.556
347,22.598
348,22.69
349,22.818
350,22.9
351,22.946
352,23.048
353,23.178
354,23.274
355,23.37
356,23.464
357,23.536
358,23.686
359,23.816
360,23.822
361,23.924
362,24.068
363,24.122
364,24.196
365,24.318
366,24.406
367,24.456
368,24.596
369,24.706
370,24.838
371,24.876
372,25.014
373,25.138
374,25.266
375,25.342
376,25.448
377,25.614
378,25.756
379,25.814
380,25.874
381,25.958
382,26.098
383,26.17
384,26.25
385,26.382
386,26.454
387,26.534
388,26.656
389,26.794
390,26.88
391,26.94
392,27.056
393,27.102
394,27.228
395,27.276
396,27.356
397,27.432
398,27.574
399,27.662
400,27.788
401,27.872
402,27.968
403,28.076
404,28.156
405,28.228
406,28.332
407,28.398
408,28.482
409,28.568
410,28.618
411,28.734
412,28.862
413,28.924
414,28.962
415,29.064
416,29.09
417,29.222
418,29.312
419,29.354
420,29.47
421,29.584
422,29.622
423,29.658
424,29.732
425,29.774
426,29.83
427,29.856
428,29.908
429,29.898
430,29.934
431,30.016
432,30.078
433,30.132
434,30.22
435,30.31
436,30.378
437,30.486
438,30.63
439,30.668
440,30.736
441,30.832
442,30.874
443,30.966
444,30.954
445,31.024
446,31.128
447,31.196
448,31.25
449,31.4
450,31.438
451,31.482
452,31.614
453,31.686
454,31.758
455,31.82
456,31.866
457,31.92
458,31.972
459,32.06
460,32.082
461,32.17
462,32.246
463,32.354
464,32.504
465,32.608
466,32.634
467,32.666
468,32.724
469,32.79
470,32.83
471,32.842
472,32.956
473,33.048
474,33.14
475,33.192
476,33.218
477,33.286
478,33.334
479,33.436
480,33.516
481,33.592
482,33.668
483,33.78
484,33.834
485,33.902
486,34.0
487,34.076
488,34.12
489,34.182
490,34.23
491,34.304
492,34.368
493,34.356
494,34.44
495,34.448
496,34.44
497,34.548
498,34.56
499,34.604
500,34.668
501,34.776
502,34.85
503,34.894
504,34.986
505,34.986
506,34.944
507,35.012
508,35.1
509,35.168
510,35.206
511,35.288
512,35.262
513,35.372
514,35.416
515,35.474
516,35.514
517,35.548
518,35.604
519,35.654
520,35.656
521,35.75
522,35.834
523,35.888
524,35.948
525,35.996
526,36.056
527,36.11
528,36.194
529,36.208
530,36.242
531,36.38
532,36.45
533,36.536
534,36.656
535,36.732
536,36.828
537,36.906
538,37.03
539,37.036
540,37.09
541,37.18
542,37.236
543,37.296
544,37.32
545,37.354
546,37.42
547,37.468
548,37.554
549,37.61
550,37.64
551,37.624
552,37.652
553,37.614
554,37.68
555,37.768
556,37.776
557,37.792
558,37.936
559,37.992
560,38.076
561,38.15
562,38.136
563,38.212
564,38.252
565,38.254
566,38.312
567,38.296
568,38.298
569,38.3
570,38.366
571,38.454
