time,mean_G
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.002
19,0.002
20,0.002
21,0.002
22,0.002
23,0.004
24,0.004
25,0.004
26,0.004
27,0.008
28,0.016
29,0.018
30,0.02
31,0.022
32,0.022
33,0.022
34,0.022
35,0.024
36,0.024
37,0.024
38,0.026
39,0.028
40,0.028
41,0.034
42,0.038
43,0.042
44,0.04
45,0.04
46,0.05
47,0.052
48,0.06
49,0.064
50,0.066
51,0.078
52,0.082
53,0.084
54,0.092
55,0.094
56,0.096
57,0.1
58,0.1
59,0.102
60,0.104
61,0.112
62,0.122
63,0.124
64,0.134
65,0.14
66,0.15
67,0.16
68,0.174
69,0.182
70,0.192
71,0.194
72,0.204
73,0.208
74,0.208
75,0.212
76,0.22
77,0.23
78,0.228
79,0.238
80,0.248
81,0.27
82,0.278
83,0.276
84,0.28
85,0.282
86,0.284
87,0.284
88,0.298
89,0.308
90,0.308
91,0.318
92,0.33
93,0.344
94,0.356
95,0.362
96,0.366
97,0.376
98,0.378
99,0.388
100,0.39
101,0.388
102,0.398
103,0.42
104,0.43
105,0.44
106,0.448
107,0.456
108,0.462
109,0.468
110,0.488
111,0.494
112,0.522
113,0.518
114,0.528
115,0.534
116,0.554
117,0.57
118,0.588
119,0.594
120,0.598
121,0.606
122,0.62
123,0.628
124,0.638
125,0.652
126,0.656
127,0.654
128,0.662
129,0.688
130,0.69
131,0.706
132,0.72
133,0.726
134,0.726
135,0.73
136,0.734
137,0.744
138,0.766
139,0.768
140,0.792
141,0.81
142,0.824
143,0.822
144,0.83
145,0.834
146,0.852
147,0.866
148,0.876
149,0.87
150,0.876
151,0.882
152,0.894
153,0.896
154,0.918
155,0.93
156,0.924
157,0.928
158,0.936
159,0.94
160,0.954
161,0.956
162,0.972
163,0.976
164,0.982
165,0.988
166,1.002
167,1.0
168,1.016
169,1.038
170,1.05
171,1.058
172,1.07
173,1.084
174,1.092
175,1.094
176,1.114
177,1.116
178,1.126
179,1.152
180,1.152
181,1.15
182,1.16
183,1.164
184,1.188
185,1.218
186,1.228
187,1.238
188,1.25
189,1.268
190,1.27
191,1.27
192,1.264
193,1.286
194,1.292
195,1.302
196,1.308
197,1.32
198,1.334
199,1.338
200,1.364
201,1.37
202,1.372
203,1.386
204,1.374
205,1.386
206,1.402
207,1.424
208,1.436
209,1.454
210,1.46
211,1.462
212,1.462
213,1.484
214,1.494
215,1.512
216,1.52
217,1.53
218,1.54
219,1.546
220,1.54
221,1.544
222,1.55
223,1.564
224,1.586
225,1.594
226,1.586
227,1.586
228,1.584
229,1.578
230,1.59
231,1.608
232,1.622
233,1.628
234,1.64
235,1.654
236,1.654
237,1.666
238,1.686
239,1.694
240,1.71
241,1.72
242,1.706
243,1.734
244,1.736
245,1.746
246,1.77
247,1.764
248,1.79
249,1.8
250,1.81
251,1.83
252,1.838
253,1.852
254,1.872
255,1.882
256,1.898
257,1.904
258,1.902
259,1.904
260,1.894
261,1.912
262,1.912
263,1.928
264,1.944
265,1.932
266,1.928
267,1.936
268,1.952
269,1.956
270,1.964
271,1.972
272,1.972
273,1.988
274,2.004
275,2.002
276,1.998
277,2.002
278,2.008
279,2.018
280,2.018
281,2.02
282,2.03
283,2.03
284,2.054
285,2.044
286,2.036
287,2.042
288,2.048
289,2.052
290,2.068
291,2.068
292,2.082
293,2.088
294,2.1
295,2.122
296,2.132
297,2.158
298,2.142
299,2.138
300,2.158
301,2.156
302,2.146
303,2.17
304,2.184
305,2.192
306,2.2
307,2.196
308,2.204
309,2.21
310,2.234
311,2.254
312,2.24
313,2.258
314,2.278
315,2.282
316,2.298
317,2.318
318,2.334
319,2.334
320,2.33
321,2.328
322,2.334
323,2.338
324,2.356
325,2.356
326,2.352
327,2.364
328,2.384
329,2.404
330,2.428
331,2.436
332,2.452
333,2.472
334,2.482
335,2.506
336,2.518
337,2.538
338,2.554
339,2.558
340,2.576
341,2.592
342,2.61
343,2.62
344,2.626
345,2.632
346,2.654
347,2.676
348,2.68
349,2.698
350,2.722
351,2.726
352,2.726
353,2.73
354,2.756
355,2.768
356,2.77
357,2.77
358,2.76
359,2.772
360,2.774
361,2.76
362,2.786
363,2.798
364,2.8
365,2.782
366,2.784
367,2.794
368,2.818
369,2.836
370,2.852
371,2.876
372,2.902
373,2.946
374,2.958
375,2.986
376,2.988
377,2.984
378,3.002
379,3.0
380,3.022
381,3.042
382,3.062
383,3.06
384,3.082
385,3.11
386,3.09
387,3.112
388,3.156
389,3.17
390,3.174
391,3.192
392,3.2
393,3.19
394,3.212
395,3.228
396,3.252
397,3.25
398,3.268
399,3.286
400,3.282
401,3.292
402,3.268
403,3.272
404,3.28
405,3.288
406,3.304
407,3.328
408,3.336
409,3.328
410,3.352
411,3.364
412,3.382
413,3.388
414,3.378
415,3.386
416,3.378
417,3.402
418,3.394
419,3.4
420,3.394
421,3.402
422,3.4
423,3.404
424,3.432
425,3.476
426,3.482
427,3.5
428,3.494
429,3.492
430,3.522
431,3.552
432,3.556
433,3.58
434,3.578
435,3.586
436,3.594
437,3.596
438,3.61
439,3.614
440,3.612
441,3.63
442,3.646
443,3.642
444,3.644
445,3.666
446,3.68
447,3.698
448,3.696
449,3.696
450,3.712
451,3.728
452,3.734
453,3.76
454,3.768
455,3.766
456,3.79
457,3.806
458,3.814
459,3.818
460,3.828
461,3.848
462,3.868
463,3.89
464,3.894
465,3.914
466,3.932
467,3.932
468,3.962
469,3.966
470,3.964
471,3.99
472,4.004
473,4.006
474,3.988
475,3.994
476,4.01
477,3.996
478,4.002
479,4.034
480,4.042
481,4.072
482,4.092
483,4.112
484,4.134
485,4.146
486,4.154
487,4.162
488,4.154
489,4.156
490,4.164
491,4.176
492,4.182
493,4.194
494,4.204
495,4.204
496,4.206
497,4.212
498,4.208
499,4.21
500,4.21
501,4.206
502,4.238
503,4.25
504,4.26
505,4.266
506,4.27
507,4.288
508,4.294
509,4.31
510,4.318
511,4.346
512,4.344
513,4.338
514,4.334
515,4.326
516,4.356
517,4.356
518,4.376
519,4.394
520,4.39
521,4.398
522,4.434
523,4.434
524,4.444
525,4.464
526,4.464
527,4.478
528,4.498
529,4.524
530,4.538
531,4.544
532,4.554
533,4.566
534,4.568
535,4.574
536,4.564
537,4.58
538,4.574
539,4.594
540,4.616
541,4.61
542,4.614
543,4.63
544,4.66
545,4.652
546,4.676
547,4.67
548,4.688
549,4.666
550,4.668
551,4.68
552,4.696
553,4.716
554,4.718
555,4.744
556,4.754
557,4.744
558,4.74
559,4.722
560,4.756
561,4.75
562,4.756
563,4.75
564,4.772
565,4.77
566,4.782
567,4.802
568,4.806
569,4.82
570,4.83
571,4.856
