time,mean_G
532,11.988
533,11.99
534,11.988
535,12.034
536,12.058
537,12.08
538,12.088
539,12.124
540,12.144
541,12.162
542,12.194
543,12.244
544,12.256
545,12.314
546,12.312
547,12.336
548,12.342
549,12.428
550,12.39
551,12.416
552,12.448
553,12.456
554,12.468
555,12.506
556,12.526
557,12.578
558,12.586
559,12.63
560,12.66
561,12.656
562,12.638
563,12.634
564,12.66
565,12.696
566,12.732
567,12.768
568,12.816
569,12.816
570,12.82
571,12.812
572,12.796
573,12.83
574,12.832
575,12.822
576,12.85
577,12.886
578,12.884
579,12.906
580,12.944
581,12.974
582,13.022
583,13.006
584,13.048
585,13.046
586,13.074
587,13.064
588,13.074
589,13.066
590,13.114
591,13.14
592,13.158
593,13.202
594,13.234
595,13.224
596,13.218
597,13.238
598,13.234
599,13.268
600,13.344
601,13.33
602,13.396
603,13.394
604,13.406
605,13.426
606,13.398
607,13.42
608,13.426
609,13.448
610,13.49
611,13.534
612,13.538
613,13.566
614,13.564
615,13.576
616,13.6
617,13.598
618,13.634
619,13.654
620,13.702
621,13.712
622,13.778
623,13.79
624,13.762
625,13.75
626,13.79
627,13.796
628,13.81
629,13.786
630,13.792
631,13.784
632,13.836
633,13.836
634,13.882
635,13.916
636,13.97
637,13.95
638,13.948
639,13.97
640,13.976
641,13.96
642,14.0
643,14.032
644,14.07
645,14.088
646,14.146
647,14.17
648,14.144
649,14.146
650,14.134
651,14.098
652,14.114
653,14.076
654,14.114
655,14.122
656,14.118
657,14.106
658,14.084
659,14.066
660,14.08
661,14.102
662,14.134
663,14.136
664,14.158
665,14.176
666,14.182
667,14.19
668,14.198
669,14.22
670,14.236
671,14.22
672,14.234
673,14.226
674,14.27
675,14.258
676,14.272
677,14.284
678,14.3
679,14.328
680,14.338
681,14.368
682,14.382
683,14.396
684,14.36
685,14.368
686,14.396
687,14.44
688,14.442
689,14.444
690,14.448
691,14.468
692,14.446
693,14.452
694,14.464
695,14.488
696,14.49
697,14.528
698,14.58
699,14.55
700,14.544
701,14.56
702,14.578
703,14.634
704,14.652
705,14.676
706,14.686
707,14.716
708,14.726
709,14.742
710,14.782
711,14.78
712,14.836
713,14.822
714,14.798
715,14.796
716,14.82
717,14.832
718,14.806
719,14.786
720,14.808
721,14.858
722,14.862
723,14.836
724,14.824
725,14.872
726,14.884
727,14.952
728,14.982
729,14.976
730,14.942
731,14.912
732,14.93
733,14.972
734,14.98
735,14.99
736,14.994
737,14.968
738,15.01
739,15.01
740,15.04
741,15.086
742,15.114
743,15.08
744,15.086
745,15.08
746,15.088
747,15.102
748,15.114
749,15.148
750,15.104
751,15.172
752,15.144
753,15.128
754,15.14
755,15.154
756,15.158
757,15.168
758,15.194
759,15.172
760,15.188
761,15.216
762,15.18
763,15.194
764,15.208
765,15.176
766,15.182
767,15.18
768,15.128
769,15.128
770,15.136
771,15.128
772,15.118
773,15.112
774,15.148
775,15.126
776,15.122
777,15.102
778,15.096
779,15.082
780,15.108
781,15.11
782,15.108
783,15.096
784,15.106
785,15.106
786,15.086
787,15.11
788,15.136
789,15.18
790,15.224
791,15.248
792,15.218
793,15.232
794,15.248
795,15.268
796,15.212
797,15.216
798,15.238
799,15.266
800,15.292
801,15.268
802,15.298
803,15.314
804,15.302
805,15.276
806,15.232
807,15.246
808,15.236
809,15.254
810,15.178
811,15.182
812,15.164
813,15.188
814,15.2
815,15.196
816,15.22
817,15.214
818,15.202
819,15.146
820,15.148
821,15.13
822,15.118
823,15.16
824,15.098
825,15.112
826,15.144
827,15.126
828,15.134
829,15.164
830,15.22
831,15.208
832,15.236
833,15.248
834,15.212
835,15.258
836,15.24
837,15.234
838,15.25
839,15.266
840,15.264
841,15.304
842,15.306
843,15.296
844,15.344
845,15.372
846,15.376
847,15.366
848,15.366
849,15.374
850,15.37
851,15.432
852,15.47
853,15.466
854,15.478
855,15.518
856,15.53
857,15.548
858,15.52
859,15.526
860,15.558
861,15.596
862,15.572
863,15.622
864,15.614
865,15.672
866,15.632
867,15.66
868,15.692
869,15.73
870,15.698
871,15.764
872,15.748
873,15.754
874,15.834
875,15.818
876,15.792
877,15.81
878,15.844
879,15.842
880,15.876
881,15.91
882,15.914
883,15.93
884,15.928
885,15.942
886,15.946
887,15.958
888,15.954
889,15.95
890,15.944
891,15.946
892,15.968
893,15.954
894,15.974
895,16.016
896,15.984
897,15.984
898,15.98
899,16.014
900,16.038
901,16.038
902,16.022
903,15.996
904,16.022
905,16.062
906,16.072
907,16.058
908,16.064
909,16.086
910,16.076
911,16.14
912,16.088
913,16.074
914,16.102
915,16.092
916,16.114
917,16.114
918,16.128
919,16.132
920,16.14
921,16.15
922,16.178
923,16.152
924,16.196
925,16.178
926,16.152
927,16.156
928,16.148
929,16.172
930,16.234
931,16.258
932,16.246
933,16.27
934,16.274
935,16.24
936,16.26
937,16.292
938,16.292
939,16.282
940,16.31
941,16.28
942,16.28
943,16.244
944,16.222
945,16.182
946,16.196
947,16.156
948,16.136
949,16.158
950,16.166
951,16.178
952,16.184
953,16.228
954,16.202
955,16.202
956,16.21
957,16.236
958,16.208
959,16.168
960,16.218
961,16.216
962,16.24
963,16.228
964,16.228
965,16.222
966,16.25
967,16.272
968,16.284
969,16.272
970,16.312
971,16.306
972,16.334
973,16.36
974,16.366
975,16.372
976,16.384
977,16.382
978,16.362
979,16.37
980,16.37
981,16.396
982,16.42
983,16.39
984,16.45
985,16.47
986,16.472
987,16.45
988,16.458
989,16.472
990,16.426
991,16.39
992,16.372
993,16.374
994,16.354
995,16.39
996,16.392
997,16.388
998,16.38
999,16.376
1000,16.378
1001,16.356
1002,16.306
1003,16.332
1004,16.354
1005,16.346
1006,16.366
1007,16.386
1008,16.414
1009,16.458
1010,16.468
1011,16.514
1012,16.49
1013,16.47
1014,16.474
1015,16.5
1016,16.536
1017,16.52
1018,16.524
1019,16.512
1020,16.542
1021,16.53
1022,16.506
1023,16.528
1024,16.508
1025,16.458
1026,16.462
1027,16.456
1028,16.456
1029,16.452
1030,16.426
1031,16.436
