time,GA_mean,GB_mean
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.002
9,0.0,0.006
10,0.0,0.006
11,0.004,0.006
12,0.006,0.008
13,0.006,0.008
14,0.006,0.008
15,0.012,0.01
16,0.016,0.012
17,0.02,0.014
18,0.026,0.018
19,0.03,0.022
20,0.036,0.026
21,0.046,0.03
22,0.056,0.036
23,0.066,0.036
24,0.068,0.038
25,0.076,0.048
26,0.08,0.054
27,0.088,0.058
28,0.096,0.068
29,0.106,0.074
30,0.116,0.084
31,0.12,0.088
32,0.122,0.102
33,0.134,0.116
34,0.152,0.132
35,0.16,0.152
36,0.172,0.164
37,0.188,0.18
38,0.198,0.196
39,0.21,0.204
40,0.224,0.226
41,0.252,0.242
42,0.266,0.268
43,0.286,0.284
44,0.292,0.298
45,0.306,0.318
46,0.34,0.338
47,0.372,0.352
48,0.4,0.384
49,0.432,0.398
50,0.476,0.434
51,0.502,0.44
52,0.55,0.464
53,0.568,0.482
54,0.586,0.494
55,0.624,0.53
56,0.652,0.556
57,0.664,0.586
58,0.702,0.624
59,0.732,0.664
60,0.762,0.688
61,0.792,0.716
62,0.826,0.73
63,0.848,0.774
64,0.864,0.818
65,0.89,0.846
66,0.894,0.86
67,0.924,0.896
68,0.976,0.924
69,1.02,0.952
70,1.048,0.998
71,1.096,1.042
72,1.124,1.058
73,1.176,1.096
74,1.22,1.14
75,1.262,1.172
76,1.304,1.194
77,1.36,1.24
78,1.382,1.28
79,1.42,1.3
80,1.476,1.322
81,1.516,1.344
82,1.586,1.37
83,1.612,1.408
84,1.65,1.44
85,1.688,1.474
86,1.732,1.508
87,1.794,1.54
88,1.854,1.58
89,1.874,1.614
90,1.908,1.678
91,1.952,1.736
92,1.992,1.778
93,2.036,1.802
94,2.096,1.842
95,2.134,1.892
96,2.188,1.944
97,2.246,1.988
98,2.314,2.032
99,2.36,2.078
100,2.4,2.134
101,2.452,2.18
102,2.482,2.228
103,2.544,2.282
104,2.592,2.326
105,2.656,2.392
106,2.704,2.442
107,2.762,2.482
108,2.826,2.554
109,2.856,2.594
110,2.906,2.614
111,2.94,2.652
112,2.978,2.67
113,3.048,2.732
114,3.102,2.776
115,3.132,2.802
116,3.194,2.842
117,3.252,2.88
118,3.3,2.914
119,3.348,2.968
120,3.422,3.01
121,3.502,3.066
122,3.548,3.128
123,3.578,3.174
124,3.638,3.23
125,3.706,3.3
126,3.782,3.366
127,3.838,3.406
128,3.896,3.444
129,3.94,3.478
130,4.008,3.53
131,4.066,3.594
132,4.128,3.65
133,4.204,3.688
134,4.264,3.734
135,4.308,3.774
136,4.332,3.82
137,4.376,3.896
138,4.412,3.96
139,4.446,4.014
140,4.506,4.078
141,4.566,4.13
142,4.646,4.166
143,4.724,4.206
144,4.788,4.27
145,4.806,4.312
146,4.87,4.382
147,4.9,4.442
148,4.984,4.466
149,5.018,4.48
150,5.042,4.522
151,5.11,4.578
152,5.18,4.646
153,5.252,4.72
154,5.356,4.736
155,5.414,4.776
156,5.472,4.864
157,5.534,4.904
158,5.59,4.978
159,5.618,5.048
160,5.698,5.098
161,5.762,5.134
162,5.854,5.164
163,5.918,5.194
164,5.976,5.25
165,6.054,5.278
166,6.132,5.368
167,6.194,5.452
168,6.272,5.482
169,6.346,5.544
170,6.4,5.604
171,6.482,5.666
172,6.57,5.698
173,6.634,5.742
174,6.734,5.806
175,6.792,5.864
176,6.848,5.886
177,6.896,5.93
178,6.958,6.014
179,7.028,6.064
180,7.088,6.106
181,7.144,6.174
182,7.196,6.218
183,7.298,6.298
184,7.352,6.332
185,7.41,6.402
186,7.476,6.428
187,7.49,6.512
188,7.556,6.544
189,7.618,6.608
190,7.706,6.648
191,7.75,6.73
192,7.802,6.778
193,7.864,6.82
194,7.94,6.886
195,7.998,6.954
196,8.088,7.026
197,8.142,7.09
198,8.192,7.108
199,8.24,7.13
200,8.332,7.196
201,8.394,7.246
202,8.46,7.288
203,8.51,7.3
204,8.576,7.354
205,8.618,7.446
206,8.71,7.496
207,8.752,7.576
208,8.86,7.606
209,8.916,7.642
210,8.972,7.69
211,9.004,7.748
212,9.06,7.836
213,9.128,7.88
214,9.18,7.958
215,9.278,7.996
216,9.338,8.094
217,9.41,8.17
218,9.502,8.226
219,9.576,8.296
220,9.626,8.356
221,9.722,8.398
222,9.786,8.458
223,9.854,8.488
224,9.91,8.524
225,9.97,8.584
226,10.01,8.634
227,10.068,8.69
228,10.088,8.768
229,10.134,8.834
230,10.204,8.886
231,10.272,8.942
232,10.314,9.008
233,10.368,9.086
234,10.442,9.144
235,10.516,9.224
236,10.592,9.29
237,10.672,9.338
238,10.7,9.414
239,10.792,9.512
240,10.838,9.608
241,10.9,9.656
242,10.954,9.68
243,11.026,9.766
244,11.06,9.838
245,11.148,9.908
246,11.18,9.954
247,11.29,10.054
248,11.394,10.132
249,11.472,10.208
250,11.518,10.316
251,11.584,10.376
252,11.634,10.39
253,11.722,10.464
254,11.822,10.514
255,11.894,10.584
256,11.946,10.658
257,12.006,10.682
258,12.076,10.78
259,12.172,10.876
260,12.234,10.948
261,12.348,10.992
262,12.39,11.058
263,12.454,11.148
264,12.574,11.164
265,12.652,11.25
266,12.702,11.294
267,12.74,11.354
268,12.8,11.454
269,12.914,11.492
270,13.018,11.582
271,13.138,11.596
272,13.196,11.648
273,13.252,11.722
274,13.34,11.816
275,13.396,11.882
276,13.504,11.932
277,13.586,12.002
278,13.654,12.092
279,13.724,12.148
280,13.792,12.224
281,13.876,12.274
282,13.908,12.366
283,13.998,12.426
284,14.074,12.52
285,14.194,12.6
286,14.256,12.66
287,14.342,12.726
288,14.412,12.796
289,14.486,12.862
290,14.536,12.88
291,14.576,12.95
292,14.632,13.008
293,14.736,13.102
294,14.818,13.194
295,14.914,13.272
296,14.994,13.318
297,15.084,13.368
298,15.16,13.436
299,15.26,13.498
300,15.342,13.532
301,15.44,13.63
302,15.486,13.686
303,15.59,13.76
304,15.616,13.804
305,15.662,13.858
306,15.726,13.886
307,15.784,13.96
308,15.87,14.012
309,15.914,14.066
310,15.908,14.106
311,15.984,14.138
312,16.046,14.202
313,16.116,14.29
314,16.178,14.326
315,16.272,14.378
316,16.38,14.438
317,16.478,14.548
318,16.508,14.648
319,16.554,14.674
320,16.672,14.778
321,16.73,14.88
322,16.762,14.904
323,16.814,14.954
324,16.856,14.974
325,16.928,15.006
326,17.096,15.106
327,17.156,15.2
328,17.24,15.232
329,17.34,15.258
330,17.398,15.318
331,17.506,15.376
332,17.564,15.454
333,17.698,15.528
334,17.734,15.618
335,17.776,15.71
336,17.818,15.814
337,17.866,15.884
338,17.954,15.958
339,18.06,16.052
340,18.118,16.146
341,18.204,16.204
342,18.306,16.322
343,18.394,16.442
344,18.512,16.526
345,18.584,16.65
346,18.638,16.722
347,18.69,16.756
348,18.768,16.808
349,18.83,16.884
350,18.99,16.94
351,19.09,17.058
352,19.186,17.066
353,19.228,17.172
354,19.27,17.276
355,19.356,17.33
356,19.43,17.398
357,19.502,17.446
358,19.566,17.516
359,19.682,17.62
360,19.728,17.692
361,19.754,17.808
362,19.86,17.88
363,19.96,17.936
364,20.066,18.028
365,20.106,18.072
366,20.182,18.112
367,20.262,18.166
368,20.336,18.238
369,20.452,18.322
370,20.554,18.394
371,20.62,18.464
372,20.706,18.542
373,20.736,18.584
374,20.77,18.692
375,20.838,18.776
376,20.912,18.83
377,20.992,18.922
378,21.044,18.958
379,21.106,19.012
380,21.154,19.08
381,21.248,19.158
382,21.362,19.214
383,21.454,19.324
384,21.462,19.502
385,21.534,19.54
386,21.63,19.61
387,21.756,19.658
388,21.82,19.7
389,21.824,19.734
390,21.862,19.806
391,21.92,19.872
392,22.054,19.966
393,22.114,20.072
394,22.18,20.184
395,22.236,20.254
396,22.342,20.346
397,22.416,20.446
398,22.536,20.588
399,22.578,20.62
400,22.694,20.696
401,22.77,20.77
402,22.85,20.804
403,22.934,20.884
404,23.016,20.966
405,23.14,21.024
406,23.228,21.086
407,23.324,21.188
408,23.404,21.248
409,23.472,21.27
410,23.56,21.334
411,23.616,21.376
412,23.728,21.464
413,23.826,21.552
414,23.946,21.6
415,24.052,21.646
416,24.122,21.728
417,24.248,21.8
418,24.304,21.902
419,24.416,21.976
420,24.508,22.038
421,24.596,22.12
422,24.66,22.238
423,24.8,22.262
424,24.892,22.346
425,24.972,22.382
