time,GA_mean,GB_mean
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.002,0.0
10,0.002,0.0
11,0.002,0.0
12,0.002,0.0
13,0.002,0.0
14,0.002,0.002
15,0.004,0.002
16,0.004,0.004
17,0.004,0.004
18,0.008,0.004
19,0.01,0.006
20,0.012,0.006
21,0.014,0.01
22,0.018,0.01
23,0.018,0.014
24,0.024,0.014
25,0.028,0.018
26,0.032,0.022
27,0.044,0.028
28,0.046,0.03
29,0.052,0.034
30,0.056,0.036
31,0.056,0.038
32,0.06,0.05
33,0.066,0.052
34,0.068,0.06
35,0.072,0.06
36,0.088,0.068
37,0.088,0.074
38,0.088,0.086
39,0.086,0.098
40,0.092,0.104
41,0.094,0.114
42,0.1,0.12
43,0.1,0.126
44,0.11,0.128
45,0.12,0.134
46,0.13,0.138
47,0.126,0.148
48,0.13,0.154
49,0.14,0.168
50,0.146,0.176
51,0.158,0.188
52,0.158,0.196
53,0.17,0.2
54,0.174,0.204
55,0.18,0.216
56,0.186,0.228
57,0.2,0.238
58,0.212,0.24
59,0.224,0.246
60,0.232,0.254
61,0.25,0.27
62,0.252,0.282
63,0.26,0.29
64,0.268,0.304
65,0.284,0.314
66,0.294,0.322
67,0.308,0.33
68,0.316,0.34
69,0.33,0.342
70,0.35,0.358
71,0.366,0.386
72,0.38,0.4
73,0.388,0.406
74,0.392,0.42
75,0.404,0.43
76,0.426,0.442
77,0.432,0.468
78,0.442,0.484
79,0.45,0.49
80,0.458,0.5
81,0.462,0.518
82,0.482,0.53
83,0.502,0.542
84,0.502,0.562
85,0.522,0.564
86,0.528,0.578
87,0.554,0.6
88,0.568,0.618
89,0.58,0.622
90,0.596,0.64
91,0.6,0.652
92,0.618,0.666
93,0.63,0.68
94,0.648,0.682
95,0.678,0.694
96,0.692,0.712
97,0.7,0.716
98,0.706,0.73
99,0.706,0.74
100,0.726,0.75
101,0.748,0.766
102,0.762,0.774
103,0.77,0.8
104,0.792,0.808
105,0.798,0.838
106,0.818,0.86
107,0.844,0.882
108,0.854,0.908
109,0.862,0.93
110,0.884,0.95
111,0.906,0.958
112,0.922,0.978
113,0.924,1.004
114,0.948,1.034
115,0.958,1.06
116,0.982,1.092
117,1.006,1.11
118,1.016,1.126
119,1.038,1.158
120,1.064,1.166
121,1.074,1.188
122,1.08,1.194
123,1.094,1.216
124,1.12,1.234
125,1.134,1.248
126,1.136,1.252
127,1.154,1.268
128,1.182,1.284
129,1.196,1.3
130,1.206,1.32
131,1.228,1.316
132,1.226,1.324
133,1.244,1.366
134,1.278,1.38
135,1.294,1.392
136,1.322,1.418
137,1.34,1.442
138,1.358,1.464
139,1.38,1.486
140,1.404,1.494
141,1.436,1.52
142,1.438,1.542
143,1.454,1.56
144,1.476,1.586
145,1.492,1.592
146,1.522,1.604
147,1.552,1.628
148,1.558,1.652
149,1.586,1.662
150,1.604,1.682
151,1.604,1.7
152,1.614,1.716
153,1.65,1.746
154,1.676,1.75
155,1.688,1.78
156,1.7,1.796
157,1.728,1.812
158,1.758,1.844
159,1.782,1.852
160,1.808,1.888
161,1.83,1.9
162,1.87,1.928
163,1.916,1.96
164,1.946,1.97
165,1.972,1.98
166,1.99,1.984
167,2.01,2.002
168,2.02,2.042
169,2.018,2.064
170,2.036,2.106
171,2.07,2.14
172,2.084,2.172
173,2.104,2.19
174,2.114,2.202
175,2.14,2.214
176,2.156,2.23
177,2.178,2.236
178,2.194,2.24
179,2.228,2.248
180,2.236,2.274
181,2.24,2.302
182,2.244,2.322
183,2.27,2.324
184,2.292,2.332
185,2.31,2.34
186,2.334,2.358
187,2.358,2.374
188,2.386,2.398
189,2.406,2.42
190,2.414,2.446
191,2.456,2.468
192,2.478,2.49
193,2.514,2.526
194,2.51,2.538
195,2.512,2.55
196,2.548,2.554
197,2.566,2.582
198,2.608,2.61
199,2.632,2.634
200,2.646,2.642
201,2.66,2.672
202,2.674,2.696
203,2.674,2.72
204,2.71,2.75
205,2.712,2.796
206,2.744,2.822
207,2.762,2.866
208,2.78,2.876
209,2.812,2.886
210,2.838,2.93
211,2.872,2.944
212,2.89,2.962
213,2.92,2.962
214,2.92,2.97
215,2.962,2.992
216,2.974,3.008
217,2.976,3.012
218,2.99,3.034
219,3.022,3.05
220,3.044,3.078
221,3.062,3.09
222,3.08,3.108
223,3.102,3.116
224,3.108,3.154
225,3.116,3.166
226,3.126,3.174
227,3.146,3.202
228,3.158,3.242
229,3.19,3.26
230,3.206,3.266
231,3.236,3.274
232,3.244,3.296
233,3.292,3.314
234,3.308,3.328
235,3.332,3.362
236,3.346,3.396
237,3.38,3.416
238,3.386,3.428
239,3.406,3.444
240,3.418,3.438
241,3.448,3.468
242,3.466,3.486
243,3.476,3.51
244,3.504,3.518
245,3.512,3.55
246,3.528,3.582
247,3.536,3.608
248,3.536,3.632
249,3.544,3.672
250,3.576,3.686
251,3.62,3.708
252,3.636,3.708
253,3.63,3.708
254,3.642,3.712
255,3.628,3.736
256,3.644,3.78
257,3.644,3.798
258,3.656,3.798
259,3.674,3.8
260,3.68,3.8
261,3.694,3.834
262,3.72,3.83
263,3.732,3.866
264,3.784,3.876
265,3.788,3.886
266,3.818,3.906
267,3.838,3.922
268,3.832,3.974
269,3.846,3.986
270,3.88,3.992
271,3.9,4.016
272,3.914,4.04
273,3.946,4.048
274,3.958,4.092
275,3.962,4.132
276,3.972,4.184
277,3.984,4.184
278,3.998,4.218
279,4.006,4.218
280,4.03,4.244
281,4.02,4.284
282,4.038,4.3
283,4.046,4.324
284,4.072,4.37
285,4.078,4.402
286,4.094,4.422
287,4.124,4.464
288,4.136,4.474
289,4.174,4.49
290,4.172,4.504
291,4.202,4.512
292,4.222,4.542
293,4.228,4.57
294,4.238,4.598
295,4.26,4.628
296,4.26,4.638
297,4.288,4.668
298,4.308,4.722
299,4.306,4.724
300,4.334,4.758
301,4.342,4.78
302,4.35,4.804
303,4.394,4.792
304,4.384,4.806
305,4.394,4.826
306,4.406,4.86
307,4.432,4.874
308,4.46,4.878
309,4.48,4.902
310,4.498,4.928
311,4.518,4.93
312,4.526,4.964
313,4.548,5.002
314,4.566,5.004
315,4.582,4.996
316,4.592,5.008
317,4.65,5.04
318,4.68,5.062
319,4.698,5.088
320,4.732,5.1
321,4.748,5.076
322,4.756,5.114
323,4.786,5.142
324,4.804,5.174
325,4.808,5.21
326,4.824,5.23
327,4.82,5.25
328,4.814,5.256
329,4.8,5.286
330,4.812,5.296
331,4.832,5.306
332,4.832,5.294
333,4.852,5.318
334,4.878,5.352
335,4.896,5.374
336,4.914,5.396
337,4.93,5.418
338,4.94,5.47
339,4.958,5.494
340,4.976,5.526
341,4.982,5.558
342,5.002,5.59
343,5.02,5.616
344,5.028,5.632
345,5.042,5.678
346,5.06,5.698
347,5.078,5.716
348,5.104,5.734
349,5.116,5.75
350,5.154,5.744
351,5.154,5.752
352,5.184,5.772
353,5.186,5.802
354,5.182,5.824
355,5.222,5.874
356,5.258,5.874
357,5.252,5.912
358,5.268,5.934
359,5.262,5.95
360,5.252,5.988
361,5.258,6.018
362,5.312,6.032
363,5.338,6.05
364,5.364,6.06
365,5.374,6.068
366,5.406,6.094
367,5.422,6.132
368,5.466,6.15
369,5.482,6.184
370,5.494,6.194
371,5.52,6.186
372,5.542,6.194
373,5.58,6.214
374,5.584,6.208
375,5.594,6.206
376,5.634,6.248
377,5.678,6.27
378,5.712,6.3
379,5.724,6.328
380,5.756,6.362
381,5.756,6.366
382,5.796,6.38
383,5.806,6.406
384,5.806,6.426
385,5.834,6.492
386,5.872,6.53
387,5.908,6.544
388,5.898,6.56
389,5.896,6.59
390,5.896,6.626
391,5.91,6.644
392,5.9,6.664
393,5.904,6.668
394,5.926,6.714
395,5.982,6.746
396,5.972,6.766
397,5.994,6.772
398,6.004,6.792
399,6.03,6.778
400,6.07,6.786
401,6.096,6.78
402,6.124,6.816
403,6.162,6.798
404,6.168,6.858
405,6.2,6.884
406,6.19,6.904
407,6.184,6.896
408,6.206,6.944
409,6.234,6.97
410,6.254,6.978
411,6.262,7.028
412,6.302,7.038
413,6.336,7.07
414,6.338,7.058
415,6.374,7.08
416,6.4,7.098
417,6.418,7.124
418,6.422,7.17
419,6.476,7.212
420,6.498,7.258
421,6.518,7.246
422,6.522,7.304
423,6.562,7.362
424,6.57,7.372
425,6.604,7.402
