time,GLas_mean,GLux_mean,G_total_mean
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.002,0.0,0.002
9,0.002,0.0,0.002
10,0.002,0.004,0.006
11,0.004,0.004,0.008
12,0.006,0.004,0.01
13,0.01,0.002,0.012
14,0.012,0.004,0.016
15,0.012,0.006,0.018
16,0.016,0.006,0.022
17,0.016,0.008,0.024
18,0.018,0.012,0.03
19,0.022,0.014,0.036
20,0.022,0.02,0.042
21,0.028,0.02,0.048
22,0.028,0.026,0.054
23,0.03,0.034,0.064
24,0.04,0.048,0.088
25,0.046,0.058,0.104
26,0.048,0.066,0.114
27,0.058,0.074,0.132
28,0.068,0.088,0.156
29,0.074,0.09,0.164
30,0.088,0.096,0.184
31,0.092,0.102,0.194
32,0.102,0.11,0.212
33,0.122,0.122,0.244
34,0.13,0.138,0.268
35,0.146,0.15,0.296
36,0.16,0.15,0.31
37,0.166,0.166,0.332
38,0.176,0.186,0.362
39,0.184,0.192,0.376
40,0.204,0.206,0.41
41,0.218,0.232,0.45
42,0.23,0.26,0.49
43,0.244,0.282,0.526
44,0.266,0.288,0.554
45,0.284,0.3,0.584
46,0.308,0.31,0.618
47,0.324,0.322,0.646
48,0.34,0.328,0.668
49,0.36,0.35,0.71
50,0.378,0.374,0.752
51,0.4,0.392,0.792
52,0.418,0.42,0.838
53,0.436,0.438,0.874
54,0.456,0.458,0.914
55,0.478,0.468,0.946
56,0.496,0.482,0.978
57,0.51,0.492,1.002
58,0.54,0.498,1.038
59,0.56,0.524,1.084
60,0.578,0.544,1.122
61,0.598,0.564,1.162
62,0.614,0.594,1.208
63,0.634,0.602,1.236
64,0.662,0.612,1.274
65,0.682,0.628,1.31
66,0.722,0.64,1.362
67,0.738,0.658,1.396
68,0.76,0.678,1.438
69,0.79,0.696,1.486
70,0.812,0.712,1.524
71,0.846,0.718,1.564
72,0.86,0.75,1.61
73,0.888,0.78,1.668
74,0.918,0.808,1.726
75,0.942,0.84,1.782
76,0.964,0.87,1.834
77,0.992,0.904,1.896
78,1.02,0.922,1.942
79,1.034,0.956,1.99
80,1.048,0.98,2.028
81,1.084,1.014,2.098
82,1.12,1.038,2.158
83,1.156,1.068,2.224
84,1.192,1.084,2.276
85,1.224,1.116,2.34
86,1.234,1.148,2.382
87,1.262,1.178,2.44
88,1.29,1.212,2.502
89,1.322,1.258,2.58
90,1.354,1.292,2.646
91,1.386,1.33,2.716
92,1.414,1.36,2.774
93,1.438,1.392,2.83
94,1.46,1.428,2.888
95,1.51,1.436,2.946
96,1.55,1.472,3.022
97,1.584,1.498,3.082
98,1.606,1.54,3.146
99,1.636,1.576,3.212
100,1.652,1.592,3.244
101,1.692,1.616,3.308
102,1.74,1.656,3.396
103,1.776,1.698,3.474
104,1.808,1.728,3.536
105,1.84,1.764,3.604
106,1.88,1.798,3.678
107,1.902,1.844,3.746
108,1.942,1.886,3.828
109,1.966,1.93,3.896
110,1.994,1.972,3.966
111,2.036,2.0,4.036
112,2.06,2.036,4.096
113,2.094,2.074,4.168
114,2.122,2.086,4.208
115,2.132,2.114,4.246
116,2.172,2.156,4.328
117,2.208,2.18,4.388
118,2.258,2.238,4.496
119,2.292,2.272,4.564
120,2.328,2.314,4.642
121,2.362,2.324,4.686
122,2.398,2.376,4.774
123,2.434,2.418,4.852
124,2.478,2.45,4.928
125,2.502,2.48,4.982
126,2.542,2.486,5.028
127,2.612,2.492,5.104
128,2.65,2.492,5.142
129,2.7,2.522,5.222
130,2.744,2.56,5.304
131,2.752,2.588,5.34
132,2.792,2.624,5.416
133,2.822,2.664,5.486
134,2.874,2.706,5.58
135,2.916,2.718,5.634
136,2.952,2.762,5.714
137,3.0,2.806,5.806
138,3.026,2.838,5.864
139,3.074,2.9,5.974
140,3.122,2.944,6.066
141,3.146,2.96,6.106
142,3.18,2.982,6.162
143,3.236,3.038,6.274
144,3.272,3.1,6.372
145,3.296,3.148,6.444
146,3.33,3.17,6.5
147,3.36,3.204,6.564
148,3.392,3.226,6.618
149,3.426,3.264,6.69
150,3.468,3.306,6.774
151,3.5,3.34,6.84
152,3.514,3.4,6.914
153,3.556,3.434,6.99
154,3.582,3.442,7.024
155,3.614,3.476,7.09
156,3.654,3.498,7.152
157,3.67,3.51,7.18
158,3.7,3.554,7.254
159,3.738,3.622,7.36
160,3.742,3.646,7.388
161,3.782,3.676,7.458
162,3.794,3.75,7.544
163,3.822,3.796,7.618
164,3.832,3.842,7.674
165,3.864,3.902,7.766
166,3.906,3.964,7.87
167,3.914,3.994,7.908
168,3.942,4.038,7.98
169,3.982,4.062,8.044
170,3.996,4.106,8.102
171,4.026,4.162,8.188
172,4.036,4.202,8.238
173,4.072,4.212,8.284
174,4.114,4.246,8.36
175,4.148,4.292,8.44
176,4.202,4.318,8.52
177,4.214,4.35,8.564
178,4.274,4.382,8.656
179,4.29,4.41,8.7
180,4.304,4.442,8.746
181,4.334,4.462,8.796
182,4.37,4.51,8.88
183,4.384,4.542,8.926
184,4.422,4.6,9.022
185,4.476,4.624,9.1
186,4.516,4.68,9.196
187,4.558,4.698,9.256
188,4.61,4.734,9.344
189,4.628,4.792,9.42
190,4.636,4.824,9.46
191,4.656,4.886,9.542
192,4.69,4.92,9.61
193,4.746,4.974,9.72
194,4.762,4.982,9.744
195,4.792,5.018,9.81
196,4.83,5.032,9.862
197,4.878,5.078,9.956
198,4.898,5.116,10.014
199,4.95,5.152,10.102
200,4.994,5.204,10.198
201,5.026,5.268,10.294
202,5.064,5.294,10.358
203,5.118,5.338,10.456
204,5.152,5.388,10.54
205,5.198,5.418,10.616
206,5.214,5.436,10.65
