time,GA_mean,GB_mean
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.002
12,0.0,0.002
13,0.0,0.002
14,0.0,0.002
15,0.0,0.004
16,0.0,0.004
17,0.0,0.004
18,0.0,0.006
19,0.0,0.01
20,0.0,0.014
21,0.0,0.02
22,0.0,0.02
23,0.0,0.022
24,0.0,0.034
25,0.0,0.038
26,0.0,0.044
27,0.0,0.046
28,0.0,0.048
29,0.0,0.054
30,0.0,0.064
31,0.0,0.076
32,0.0,0.084
33,0.0,0.088
34,0.0,0.092
35,0.0,0.104
36,0.0,0.118
37,0.0,0.126
38,0.0,0.13
39,0.0,0.144
40,0.0,0.162
41,0.0,0.188
42,0.0,0.196
43,0.0,0.196
44,0.0,0.208
45,0.0,0.222
46,0.0,0.244
47,0.0,0.264
48,0.0,0.274
49,0.0,0.292
50,0.0,0.302
51,0.0,0.314
52,0.0,0.336
53,0.0,0.37
54,0.0,0.392
55,0.0,0.412
56,0.0,0.424
57,0.0,0.44
58,0.0,0.454
59,0.0,0.472
60,0.0,0.504
61,0.0,0.522
62,0.0,0.544
63,0.0,0.554
64,0.0,0.568
65,0.0,0.586
66,0.0,0.61
67,0.0,0.636
68,0.0,0.662
69,0.0,0.692
70,0.0,0.718
71,0.0,0.744
72,0.0,0.762
73,0.0,0.792
74,0.0,0.81
75,0.0,0.828
76,0.0,0.848
77,0.0,0.87
78,0.0,0.896
79,0.0,0.93
80,0.0,0.96
81,0.0,0.99
82,0.0,1.02
83,0.0,1.056
84,0.0,1.078
85,0.0,1.106
86,0.0,1.13
87,0.0,1.164
88,0.0,1.182
89,0.0,1.19
90,0.0,1.208
91,0.0,1.246
92,0.0,1.294
93,0.0,1.306
94,0.0,1.342
95,0.0,1.38
96,0.0,1.418
97,0.0,1.432
98,0.0,1.468
99,0.0,1.494
100,0.0,1.502
101,0.0,1.528
102,0.0,1.556
103,0.0,1.56
104,0.0,1.586
105,0.0,1.622
106,0.0,1.658
107,0.0,1.694
108,0.0,1.724
109,0.0,1.782
110,0.0,1.808
111,0.0,1.838
112,0.0,1.846
113,0.0,1.878
114,0.0,1.904
115,0.0,1.938
116,0.0,1.982
117,0.0,2.01
118,0.0,2.062
119,0.0,2.126
120,0.0,2.152
121,0.0,2.18
122,0.0,2.22
123,0.0,2.26
124,0.0,2.294
125,0.0,2.318
126,0.0,2.35
127,0.0,2.396
128,0.0,2.422
129,0.0,2.454
130,0.0,2.51
131,0.0,2.536
132,0.0,2.578
133,0.0,2.624
134,0.0,2.658
135,0.0,2.694
136,0.0,2.74
137,0.0,2.772
138,0.0,2.832
139,0.0,2.858
140,0.0,2.898
141,0.0,2.938
142,0.0,3.002
143,0.0,3.008
144,0.0,3.05
145,0.0,3.088
146,0.0,3.122
147,0.0,3.154
148,0.0,3.202
149,0.0,3.226
150,0.0,3.262
151,0.0,3.3
152,0.0,3.35
153,0.0,3.412
154,0.0,3.468
155,0.0,3.512
156,0.0,3.568
157,0.0,3.616
158,0.0,3.64
159,0.0,3.668
160,0.0,3.708
161,0.0,3.728
162,0.0,3.762
163,0.0,3.826
164,0.0,3.844
165,0.0,3.886
166,0.0,3.922
167,0.0,3.98
168,0.0,3.998
169,0.0,4.062
170,0.0,4.112
171,0.0,4.174
172,0.0,4.226
173,0.0,4.294
174,0.0,4.34
175,0.0,4.38
176,0.0,4.406
177,0.0,4.454
178,0.0,4.496
179,0.0,4.518
180,0.0,4.572
181,0.0,4.648
182,0.0,4.672
183,0.0,4.736
184,0.0,4.798
185,0.0,4.834
186,0.0,4.88
187,0.0,4.902
188,0.0,4.968
189,0.0,5.014
190,0.0,5.06
191,0.0,5.086
192,0.0,5.152
193,0.0,5.214
194,0.0,5.274
195,0.0,5.262
196,0.0,5.32
197,0.0,5.362
198,0.0,5.402
199,0.0,5.44
200,0.0,5.524
201,0.0,5.584
202,0.0,5.664
203,0.0,5.696
204,0.0,5.742
205,0.0,5.802
206,0.0,5.808
207,0.0,5.854
208,0.0,5.918
209,0.0,5.942
210,0.0,5.99
211,0.0,6.048
212,0.0,6.1
213,0.0,6.164
214,0.0,6.234
215,0.0,6.268
216,0.0,6.334
217,0.0,6.388
218,0.0,6.456
219,0.0,6.55
220,0.0,6.608
221,0.0,6.636
222,0.0,6.71
223,0.0,6.778
224,0.0,6.856
225,0.0,6.916
226,0.0,6.964
227,0.0,7.02
228,0.0,7.086
229,0.0,7.15
230,0.0,7.166
231,0.0,7.238
232,0.0,7.264
233,0.0,7.308
234,0.0,7.352
235,0.0,7.382
236,0.0,7.4
237,0.0,7.418
238,0.0,7.482
239,0.0,7.53
240,0.0,7.6
241,0.0,7.652
242,0.0,7.686
243,0.0,7.712
244,0.0,7.712
245,0.0,7.756
246,0.0,7.8
247,0.0,7.816
248,0.0,7.86
249,0.0,7.914
250,0.0,7.984
251,0.0,8.03
252,0.0,8.12
253,0.0,8.178
254,0.0,8.262
255,0.0,8.35
256,0.0,8.39
257,0.0,8.478
258,0.0,8.534
259,0.0,8.56
260,0.0,8.612
261,0.0,8.644
262,0.0,8.658
263,0.0,8.686
264,0.0,8.73
265,0.0,8.796
266,0.0,8.87
267,0.0,8.95
268,0.0,8.994
269,0.0,9.042
270,0.0,9.078
271,0.0,9.154
272,0.0,9.222
273,0.0,9.276
274,0.0,9.316
275,0.0,9.366
276,0.0,9.458
277,0.0,9.52
278,0.0,9.558
279,0.0,9.59
280,0.0,9.658
281,0.0,9.7
282,0.0,9.768
283,0.0,9.822
284,0.0,9.902
285,0.0,9.99
286,0.0,10.028
287,0.0,10.092
288,0.0,10.13
289,0.0,10.168
290,0.0,10.22
291,0.0,10.248
292,0.0,10.346
293,0.0,10.4
294,0.0,10.476
295,0.0,10.488
296,0.0,10.554
297,0.0,10.61
298,0.0,10.668
299,0.0,10.664
300,0.0,10.748
301,0.0,10.79
302,0.0,10.824
303,0.0,10.83
304,0.0,10.868
305,0.0,10.928
306,0.0,10.982
307,0.0,11.008
308,0.0,11.026
309,0.0,11.108
310,0.0,11.164
311,0.0,11.236
312,0.0,11.296
313,0.0,11.368
314,0.0,11.402
315,0.0,11.464
316,0.0,11.526
317,0.0,11.596
318,0.0,11.634
319,0.0,11.67
320,0.0,11.672
321,0.0,11.694
322,0.0,11.75
323,0.0,11.82
324,0.0,11.84
325,0.0,11.886
326,0.0,11.942
327,0.0,11.988
328,0.0,12.056
329,0.0,12.146
330,0.0,12.212
331,0.0,12.278
332,0.0,12.362
333,0.0,12.476
334,0.0,12.564
335,0.0,12.618
336,0.0,12.644
337,0.0,12.694
338,0.0,12.738
339,0.0,12.826
340,0.0,12.884
341,0.0,12.898
342,0.0,12.93
343,0.0,12.944
344,0.0,12.99
345,0.0,13.034
346,0.0,13.116
347,0.0,13.166
348,0.0,13.232
349,0.0,13.31
350,0.0,13.4
351,0.0,13.444
352,0.0,13.498
353,0.0,13.604
354,0.0,13.646
355,0.0,13.714
356,0.0,13.776
357,0.0,13.808
358,0.0,13.866
359,0.0,13.954
360,0.0,14.054
361,0.0,14.104
362,0.0,14.188
363,0.0,14.292
364,0.0,14.346
365,0.0,14.406
366,0.0,14.496
367,0.0,14.516
368,0.0,14.51
369,0.0,14.54
370,0.0,14.598
371,0.0,14.61
372,0.0,14.648
373,0.0,14.678
374,0.0,14.77
375,0.0,14.828
376,0.0,14.876
377,0.0,14.934
378,0.0,14.99
379,0.0,15.046
380,0.0,15.114
381,0.0,15.196
382,0.0,15.216
383,0.0,15.314
384,0.0,15.368
385,0.0,15.39
386,0.0,15.432
387,0.0,15.492
388,0.0,15.56
389,0.0,15.634
390,0.0,15.69
391,0.0,15.718
392,0.0,15.72
393,0.0,15.748
394,0.0,15.862
395,0.0,15.918
396,0.0,15.96
397,0.0,16.04
398,0.0,16.112
399,0.0,16.132
400,0.0,16.116
401,0.0,16.176
402,0.0,16.27
403,0.0,16.352
404,0.0,16.418
405,0.0,16.396
406,0.0,16.49
407,0.0,16.562
408,0.0,16.624
409,0.0,16.664
410,0.0,16.74
411,0.0,16.804
412,0.0,16.902
413,0.0,16.95
414,0.0,16.968
415,0.0,17.03
416,0.0,17.018
417,0.0,17.074
418,0.0,17.096
419,0.0,17.164
420,0.0,17.17
421,0.0,17.24
422,0.0,17.278
423,0.0,17.314
424,0.0,17.424
425,0.0,17.48
