condition,RNAP,Ribo,copies,N,T_end,window_start,window_end,mean_total,sd_total,CV_total,CV2_total,mean_pLasGFP,sd_pLasGFP,CV_pLasGFP,CV2_pLasGFP,mean_pLuxGFP,sd_pLuxGFP,CV_pLuxGFP,CV2_pLuxGFP,mean,sd,CV,CV2
Cond4,20,50,10,20,3000,2500,3000,11.216666666666667,1.9787907610569435,0.17641522386837535,0.031122331212528994,5.559181636726547,1.6438715418671777,0.2957038732116604,0.08744078063237774,5.65748502994012,1.4055356757247102,0.24843824920197563,0.061721563666542946,11.216666666666667,1.9787907610569435,0.17641522386837535,0.031122331212528994
Cond4,20,100,10,20,3000,2500,3000,12.37634730538922,1.9745122437712022,0.15953917541659568,0.02545274849260729,6.1100798403193615,1.5528054758395937,0.25413832820856097,0.06458628986464225,6.26626746506986,1.194538723216581,0.19063002495110756,0.036339806412859894,12.37634730538922,1.9745122437712022,0.15953917541659568,0.02545274849260729
Cond4,20,200,10,20,3000,2500,3000,11.631337325349302,1.3143637705393019,0.1130019475640846,0.012769440153276126,6.1195608782435125,1.051326774557012,0.17179774749765586,0.02951446604526832,5.511776447105788,1.1189604380239282,0.20301266728832768,0.04121414307952123,11.631337325349302,1.3143637705393019,0.1130019475640846,0.012769440153276126
Cond4,20,300,10,20,3000,2500,3000,12.752295409181638,1.992693545536804,0.15626155775077694,0.024417674430699397,6.151596806387226,0.8690985212921445,0.14128015028386715,0.019960080864232087,6.600698602794411,1.7533549778274216,0.26563172829693166,0.07056021507801492,12.752295409181638,1.992693545536804,0.15626155775077694,0.024417674430699397
Cond4,20,400,10,20,3000,2500,3000,12.915568862275446,1.7396663410926714,0.13469529369116612,0.018142822142549496,6.6145708582834315,1.284069168754121,0.19412735856417357,0.03768543134310321,6.3009980039920155,1.0655678107112974,0.16911095830155853,0.02859851621767147,12.915568862275446,1.7396663410926714,0.13469529369116612,0.018142822142549496
Cond4,20,500,10,20,3000,2500,3000,13.164770459081836,2.089219228018253,0.15869773305291368,0.025184970476133852,6.761776447105788,1.4439463445337044,0.21354541307732083,0.04560164344636359,6.402994011976048,1.704010486598979,0.2661271404302155,0.07082365487356365,13.164770459081836,2.089219228018253,0.15869773305291368,0.025184970476133852
Cond4,35,50,10,20,3000,2500,3000,18.554590818363273,2.17814596694238,0.11739121537440175,0.013780697447079179,9.528742514970059,1.6826321141800407,0.17658490735126425,0.03118222950425458,9.025848303393214,1.4463316085917042,0.1602432879409201,0.02567791133011663,18.554590818363273,2.17814596694238,0.11739121537440175,0.013780697447079179
Cond4,35,100,10,20,3000,2500,3000,19.696307385229545,1.4755068686523154,0.07491286766568299,0.005611937741896132,10.048303393213574,1.6570518319058143,0.16490861860569958,0.027194852490440086,9.648003992015969,1.491888161336203,0.15463179353685882,0.023910991572425735,19.696307385229545,1.4755068686523154,0.07491286766568299,0.005611937741896132
Cond4,35,200,10,20,3000,2500,3000,21.174650698602793,2.256972689558176,0.10658842602334413,0.011361092562133905,10.023652694610778,1.6166565935657933,0.16128417881387586,0.02601258633566628,11.150998003992017,1.2172414208311124,0.10915986357412533,0.011915875815521653,21.174650698602793,2.256972689558176,0.10658842602334413,0.011361092562133905
Cond4,35,300,10,20,3000,2500,3000,21.63552894211577,2.9518886022568984,0.13643708966646734,0.01861507943665565,10.965269461077844,1.8904105525422563,0.17239982649331412,0.02972170017492481,10.670259481037926,1.7848587099988908,0.16727416171750611,0.027980645178294388,21.63552894211577,2.9518886022568984,0.13643708966646734,0.01861507943665565
Cond4,35,400,10,20,3000,2500,3000,22.289421157684632,1.9456973823879855,0.08729241412880637,0.007619965564435034,11.261377245508982,1.624090072953307,0.1442177131221664,0.02079874877818749,11.028043912175649,1.2380244106707137,0.11226146908100877,0.012602637440226288,22.289421157684632,1.9456973823879855,0.08729241412880637,0.007619965564435034
Cond4,35,500,10,20,3000,2500,3000,21.26127744510978,2.089065848349583,0.09825683587182955,0.009654405795543651,10.435329341317367,1.5262284068604441,0.14625589254931665,0.021390786105397255,10.825948103792415,1.2545397818573518,0.11588267095219833,0.01342879342701547,21.26127744510978,2.089065848349583,0.09825683587182955,0.009654405795543651
Cond4,50,50,10,20,3000,2500,3000,26.022355289421153,2.271152279518536,0.08727696837041594,0.007617269207930585,12.52814371257485,1.5000100796072506,0.11973123185852731,0.014335567882360425,13.494211576846306,2.1889464697574392,0.1622137356667274,0.026313296038954905,26.022355289421153,2.271152279518536,0.08727696837041594,0.007617269207930585
Cond4,50,100,10,20,3000,2500,3000,28.45648702594811,1.6048930836764888,0.05639814507718621,0.0031807507681473435,14.578443113772455,1.3862600353433323,0.09508971736726218,0.009042054348985803,13.87804391217565,1.6882565322499972,0.12164945888150966,0.01479859084616411,28.45648702594811,1.6048930836764888,0.05639814507718621,0.0031807507681473435
Cond4,50,200,10,20,3000,2500,3000,28.780239520958084,3.3772098767484624,0.11734474531697839,0.01376978925350652,14.27924151696607,1.5432647759411484,0.10807750356400218,0.011680746776626904,14.500998003992018,2.414725631804351,0.16652134088561316,0.02772935697034258,28.780239520958084,3.3772098767484624,0.11734474531697839,0.01376978925350652
Cond4,50,300,10,20,3000,2500,3000,28.775748502994013,2.3396942400186282,0.08130784989920216,0.006610966455231188,14.60928143712575,1.469895688234204,0.10061382516041072,0.010123141813409696,14.166467065868265,1.5946085673174526,0.11256219069321775,0.012670246773656317,28.775748502994013,2.3396942400186282,0.08130784989920216,0.006610966455231188
