time,GA_mean,GB_mean
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.002,0.0
17,0.002,0.0
18,0.002,0.0
19,0.004,0.0
20,0.006,0.0
21,0.006,0.0
22,0.006,0.002
23,0.008,0.002
24,0.008,0.006
25,0.008,0.006
26,0.01,0.006
27,0.01,0.008
28,0.01,0.01
29,0.012,0.014
30,0.018,0.016
31,0.022,0.016
32,0.022,0.02
33,0.024,0.024
34,0.024,0.024
35,0.03,0.026
36,0.032,0.024
37,0.032,0.024
38,0.034,0.026
39,0.038,0.036
40,0.04,0.046
41,0.046,0.046
42,0.05,0.054
43,0.054,0.054
44,0.06,0.058
45,0.064,0.062
46,0.068,0.066
47,0.072,0.07
48,0.078,0.072
49,0.082,0.078
50,0.096,0.078
51,0.102,0.084
52,0.102,0.086
53,0.102,0.086
54,0.108,0.09
55,0.11,0.088
56,0.114,0.096
57,0.118,0.1
58,0.126,0.116
59,0.128,0.12
60,0.138,0.12
61,0.148,0.122
62,0.152,0.128
63,0.156,0.136
64,0.164,0.14
65,0.166,0.146
66,0.166,0.15
67,0.176,0.148
68,0.18,0.152
69,0.19,0.156
70,0.198,0.166
71,0.196,0.176
72,0.198,0.186
73,0.206,0.186
74,0.216,0.196
75,0.23,0.206
76,0.238,0.206
77,0.252,0.216
78,0.266,0.218
79,0.272,0.23
80,0.284,0.228
81,0.29,0.228
82,0.298,0.242
83,0.304,0.24
84,0.308,0.248
85,0.322,0.254
86,0.328,0.258
87,0.342,0.266
88,0.346,0.274
89,0.36,0.286
90,0.364,0.29
91,0.37,0.294
92,0.384,0.302
93,0.388,0.314
94,0.392,0.326
95,0.39,0.338
96,0.398,0.346
97,0.406,0.356
98,0.414,0.36
99,0.424,0.372
100,0.422,0.374
101,0.428,0.386
102,0.432,0.394
103,0.446,0.398
104,0.448,0.414
105,0.454,0.422
106,0.466,0.428
107,0.476,0.434
108,0.484,0.448
109,0.492,0.458
110,0.512,0.47
111,0.52,0.478
112,0.536,0.49
113,0.558,0.498
114,0.558,0.514
115,0.572,0.524
116,0.586,0.536
117,0.588,0.544
118,0.62,0.552
119,0.632,0.56
120,0.634,0.57
121,0.638,0.568
122,0.642,0.584
123,0.656,0.588
124,0.66,0.592
125,0.674,0.614
126,0.68,0.632
127,0.69,0.636
128,0.696,0.64
129,0.702,0.646
130,0.712,0.656
131,0.728,0.664
132,0.732,0.674
133,0.744,0.688
134,0.754,0.688
135,0.756,0.7
136,0.77,0.716
137,0.788,0.73
138,0.786,0.748
139,0.792,0.752
140,0.806,0.766
141,0.814,0.764
142,0.822,0.778
143,0.842,0.774
144,0.848,0.78
145,0.846,0.788
146,0.846,0.794
147,0.86,0.798
148,0.866,0.826
149,0.88,0.828
150,0.88,0.836
151,0.874,0.852
152,0.892,0.872
153,0.896,0.882
154,0.908,0.888
155,0.91,0.886
156,0.918,0.908
157,0.918,0.926
158,0.932,0.93
159,0.94,0.922
160,0.95,0.94
161,0.952,0.962
162,0.962,0.984
163,0.972,1.004
164,0.976,1.014
165,0.986,1.024
166,1.0,1.02
167,1.02,1.02
168,1.02,1.034
169,1.032,1.052
170,1.034,1.06
171,1.048,1.062
172,1.062,1.07
173,1.072,1.088
174,1.078,1.084
175,1.08,1.088
176,1.098,1.094
177,1.122,1.1
178,1.134,1.112
179,1.142,1.132
180,1.154,1.128
181,1.182,1.14
182,1.192,1.172
183,1.226,1.192
184,1.246,1.218
185,1.262,1.228
186,1.28,1.228
187,1.292,1.234
188,1.296,1.24
189,1.316,1.25
190,1.33,1.256
191,1.338,1.266
192,1.348,1.284
193,1.336,1.29
194,1.338,1.298
195,1.344,1.312
196,1.356,1.308
197,1.364,1.318
198,1.372,1.324
199,1.362,1.348
200,1.366,1.352
201,1.372,1.362
202,1.386,1.364
203,1.418,1.384
204,1.44,1.398
205,1.432,1.422
206,1.452,1.438
207,1.46,1.44
208,1.468,1.454
209,1.482,1.456
210,1.492,1.466
211,1.504,1.474
212,1.506,1.496
213,1.52,1.502
214,1.508,1.518
215,1.51,1.518
216,1.522,1.522
217,1.548,1.514
218,1.564,1.532
219,1.562,1.534
220,1.58,1.546
221,1.582,1.556
222,1.59,1.558
223,1.58,1.588
224,1.602,1.596
225,1.608,1.604
226,1.62,1.616
227,1.63,1.632
228,1.652,1.636
229,1.66,1.64
230,1.682,1.658
231,1.682,1.664
232,1.692,1.67
233,1.71,1.674
234,1.736,1.686
235,1.736,1.698
236,1.738,1.706
237,1.736,1.738
238,1.746,1.736
239,1.746,1.746
240,1.76,1.738
241,1.748,1.746
242,1.748,1.75
243,1.74,1.776
244,1.746,1.796
245,1.752,1.796
246,1.76,1.794
247,1.764,1.806
248,1.756,1.81
249,1.754,1.816
250,1.752,1.842
251,1.754,1.838
252,1.772,1.838
253,1.784,1.848
254,1.79,1.852
255,1.8,1.854
256,1.796,1.882
257,1.816,1.878
258,1.82,1.888
259,1.838,1.896
260,1.834,1.904
261,1.838,1.924
262,1.85,1.926
263,1.854,1.94
264,1.872,1.962
265,1.88,1.974
266,1.892,1.986
267,1.91,1.99
268,1.918,2.004
269,1.926,2.012
270,1.94,2.022
271,1.946,2.034
272,1.954,2.036
273,1.966,2.036
274,1.982,2.046
275,1.994,2.062
276,2.01,2.056
277,2.042,2.066
278,2.05,2.05
279,2.058,2.068
280,2.06,2.06
281,2.058,2.074
282,2.066,2.072
283,2.066,2.068
284,2.074,2.064
285,2.078,2.068
286,2.084,2.078
287,2.096,2.088
288,2.104,2.09
289,2.112,2.106
290,2.124,2.104
291,2.13,2.13
292,2.144,2.126
293,2.146,2.15
294,2.148,2.16
295,2.154,2.158
296,2.146,2.16
297,2.146,2.186
298,2.16,2.196
299,2.178,2.22
300,2.19,2.226
301,2.196,2.242
302,2.198,2.264
303,2.222,2.266
304,2.234,2.274
305,2.246,2.282
306,2.228,2.302
307,2.208,2.296
308,2.222,2.31
309,2.224,2.322
310,2.228,2.326
311,2.226,2.322
312,2.236,2.324
313,2.234,2.32
314,2.254,2.33
315,2.244,2.346
316,2.244,2.376
317,2.254,2.384
318,2.26,2.386
319,2.266,2.41
320,2.266,2.42
321,2.252,2.424
322,2.26,2.43
323,2.258,2.436
324,2.256,2.454
325,2.274,2.454
326,2.276,2.472
327,2.296,2.474
328,2.302,2.478
329,2.308,2.48
330,2.326,2.496
331,2.336,2.514
332,2.348,2.538
333,2.368,2.55
334,2.392,2.57
335,2.388,2.588
336,2.378,2.592
337,2.388,2.596
338,2.382,2.588
339,2.404,2.618
340,2.42,2.61
341,2.414,2.654
342,2.408,2.65
343,2.412,2.664
344,2.41,2.662
345,2.424,2.658
346,2.426,2.662
347,2.434,2.662
348,2.436,2.67
349,2.44,2.682
350,2.438,2.668
351,2.432,2.702
352,2.446,2.718
353,2.456,2.728
354,2.448,2.744
355,2.438,2.756
356,2.454,2.78
357,2.47,2.786
358,2.472,2.792
359,2.474,2.806
360,2.482,2.812
361,2.466,2.836
362,2.474,2.842
363,2.478,2.834
364,2.482,2.838
365,2.472,2.858
366,2.474,2.88
367,2.452,2.878
368,2.456,2.876
369,2.456,2.886
370,2.464,2.888
371,2.464,2.878
372,2.48,2.894
373,2.474,2.91
374,2.48,2.928
375,2.488,2.96
376,2.5,2.956
377,2.512,2.974
378,2.524,2.974
379,2.53,2.99
380,2.528,2.982
381,2.538,3.014
382,2.556,3.024
383,2.558,3.044
384,2.572,3.066
385,2.58,3.07
386,2.59,3.086
387,2.606,3.102
388,2.616,3.12
389,2.62,3.124
390,2.626,3.122
391,2.622,3.118
392,2.636,3.106
393,2.624,3.106
394,2.622,3.118
395,2.626,3.146
396,2.664,3.166
397,2.698,3.18
398,2.702,3.184
399,2.706,3.198
400,2.718,3.208
401,2.728,3.202
402,2.718,3.21
403,2.734,3.23
404,2.754,3.222
405,2.762,3.244
406,2.772,3.272
407,2.77,3.298
408,2.772,3.298
409,2.766,3.306
410,2.768,3.33
411,2.798,3.372
412,2.788,3.392
413,2.792,3.408
414,2.81,3.418
415,2.846,3.434
416,2.854,3.446
417,2.852,3.46
418,2.88,3.458
419,2.868,3.466
420,2.9,3.482
421,2.908,3.488
422,2.902,3.478
423,2.92,3.474
424,2.928,3.474
425,2.952,3.492
