time,mean_G
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.004
18,0.006
19,0.008
20,0.008
21,0.008
22,0.008
23,0.01
24,0.016
25,0.016
26,0.022
27,0.026
28,0.03
29,0.032
30,0.034
31,0.036
32,0.04
33,0.042
34,0.048
35,0.05
36,0.052
37,0.06
38,0.06
39,0.066
40,0.066
41,0.072
42,0.086
43,0.088
44,0.09
45,0.098
46,0.102
47,0.108
48,0.122
49,0.13
50,0.138
51,0.146
52,0.15
53,0.152
54,0.16
55,0.17
56,0.17
57,0.172
58,0.18
59,0.184
60,0.194
61,0.198
62,0.206
63,0.224
64,0.234
65,0.25
66,0.254
67,0.264
68,0.288
69,0.308
70,0.314
71,0.328
72,0.332
73,0.342
74,0.36
75,0.37
76,0.386
77,0.406
78,0.424
79,0.444
80,0.468
81,0.488
82,0.508
83,0.536
84,0.548
85,0.564
86,0.578
87,0.578
88,0.574
89,0.586
90,0.594
91,0.614
92,0.622
93,0.642
94,0.654
95,0.664
96,0.684
97,0.692
98,0.71
99,0.718
100,0.734
101,0.762
102,0.774
103,0.798
104,0.814
105,0.838
106,0.854
107,0.874
108,0.904
109,0.918
110,0.936
111,0.948
112,0.974
113,0.988
114,0.998
115,1.018
116,1.022
117,1.05
118,1.058
119,1.076
120,1.098
121,1.118
122,1.134
123,1.146
124,1.162
125,1.174
126,1.194
127,1.208
128,1.23
129,1.244
130,1.264
131,1.286
132,1.296
133,1.318
134,1.332
135,1.374
136,1.378
137,1.39
138,1.394
139,1.402
140,1.444
141,1.464
142,1.49
143,1.518
144,1.548
145,1.57
146,1.596
147,1.61
148,1.62
149,1.634
150,1.658
151,1.674
152,1.706
153,1.74
154,1.75
155,1.75
156,1.776
157,1.792
158,1.832
159,1.858
160,1.858
161,1.876
162,1.894
163,1.906
164,1.91
165,1.926
166,1.94
167,1.946
168,1.972
169,2.012
170,2.054
171,2.062
172,2.09
173,2.09
174,2.102
175,2.138
176,2.166
177,2.184
178,2.21
179,2.244
180,2.268
181,2.294
182,2.306
183,2.326
184,2.356
185,2.382
186,2.382
187,2.402
188,2.42
189,2.456
190,2.47
191,2.476
192,2.498
193,2.524
194,2.55
195,2.56
196,2.578
197,2.6
198,2.618
199,2.648
200,2.694
201,2.69
202,2.712
203,2.73
204,2.758
205,2.768
206,2.804
207,2.826
208,2.812
209,2.836
210,2.854
211,2.856
212,2.862
213,2.898
214,2.932
215,2.952
216,2.968
217,3.0
218,3.034
219,3.072
220,3.086
221,3.12
222,3.114
223,3.122
224,3.162
225,3.168
226,3.192
227,3.208
228,3.214
229,3.236
230,3.262
231,3.262
232,3.266
233,3.294
234,3.322
235,3.35
236,3.368
237,3.402
238,3.44
239,3.464
240,3.484
241,3.508
242,3.526
243,3.528
244,3.568
245,3.588
246,3.59
247,3.614
248,3.632
249,3.654
250,3.66
251,3.676
252,3.698
253,3.728
254,3.754
255,3.774
256,3.814
257,3.856
258,3.84
259,3.856
260,3.868
261,3.902
262,3.91
263,3.912
264,3.93
265,3.984
266,4.018
267,4.02
268,4.044
269,4.09
270,4.128
271,4.174
272,4.192
273,4.196
274,4.266
275,4.294
276,4.314
277,4.312
278,4.34
279,4.386
280,4.41
281,4.43
282,4.488
283,4.498
284,4.526
285,4.574
286,4.604
287,4.652
288,4.678
289,4.686
290,4.686
291,4.674
292,4.71
293,4.736
294,4.736
295,4.764
296,4.796
297,4.826
298,4.848
299,4.866
300,4.902
301,4.954
302,4.956
303,4.968
304,5.018
305,5.074
306,5.078
307,5.084
308,5.088
309,5.104
310,5.134
311,5.152
312,5.158
313,5.176
314,5.178
315,5.218
316,5.254
317,5.276
318,5.286
319,5.294
320,5.344
321,5.366
322,5.41
323,5.428
324,5.438
325,5.452
326,5.472
327,5.538
328,5.562
329,5.578
330,5.604
331,5.654
332,5.688
333,5.666
334,5.706
335,5.728
336,5.762
337,5.818
338,5.834
339,5.842
340,5.862
341,5.888
342,5.912
343,5.952
344,5.952
345,5.964
346,5.97
347,5.964
348,5.956
349,5.982
350,6.004
351,6.064
352,6.08
353,6.118
354,6.114
355,6.136
356,6.178
357,6.194
358,6.232
359,6.252
360,6.278
361,6.302
362,6.352
363,6.36
364,6.386
365,6.424
366,6.458
367,6.532
368,6.532
369,6.546
370,6.57
371,6.626
372,6.66
373,6.702
374,6.728
375,6.752
376,6.768
377,6.79
378,6.788
379,6.802
380,6.814
381,6.83
382,6.846
383,6.866
384,6.896
385,6.958
386,6.964
387,6.982
388,7.0
389,7.022
390,7.056
391,7.112
392,7.16
393,7.17
394,7.206
395,7.232
396,7.284
397,7.316
398,7.356
399,7.364
400,7.4
401,7.438
402,7.486
403,7.566
404,7.596
405,7.614
406,7.658
407,7.69
408,7.7
409,7.738
410,7.748
411,7.762
412,7.778
413,7.784
414,7.798
415,7.804
416,7.886
417,7.912
418,7.93
419,7.956
420,7.964
421,7.958
422,7.994
423,8.014
424,8.028
425,8.058
426,8.072
427,8.07
428,8.082
429,8.102
430,8.136
431,8.154
432,8.162
433,8.158
434,8.186
435,8.202
436,8.22
437,8.214
438,8.248
439,8.252
440,8.27
441,8.296
442,8.31
443,8.316
444,8.32
445,8.336
446,8.386
447,8.428
448,8.416
449,8.432
450,8.436
451,8.458
452,8.536
453,8.586
454,8.636
455,8.662
456,8.698
457,8.734
458,8.734
459,8.724
460,8.776
461,8.802
462,8.812
463,8.816
464,8.874
465,8.924
466,8.966
467,8.97
468,9.01
469,9.036
470,9.058
471,9.068
472,9.088
473,9.118
474,9.132
475,9.156
476,9.19
477,9.22
478,9.234
479,9.236
480,9.26
481,9.27
482,9.288
483,9.296
484,9.344
485,9.362
486,9.39
487,9.428
488,9.422
489,9.458
490,9.478
491,9.514
492,9.548
493,9.608
494,9.602
495,9.612
496,9.636
497,9.668
498,9.642
499,9.686
500,9.736
501,9.776
502,9.79
503,9.832
504,9.88
505,9.89
506,9.914
507,9.934
508,9.934
509,9.962
510,10.012
511,10.032
512,10.044
513,10.008
514,10.046
515,10.086
516,10.124
517,10.114
518,10.168
519,10.232
520,10.266
521,10.288
522,10.308
523,10.33
524,10.348
525,10.346
526,10.338
527,10.364
528,10.396
529,10.43
530,10.436
531,10.466
532,10.47
533,10.484
534,10.518
535,10.564
536,10.572
537,10.56
538,10.582
539,10.606
540,10.634
541,10.67
542,10.678
543,10.67
544,10.702
545,10.702
546,10.678
547,10.69
548,10.694
549,10.686
550,10.728
551,10.72
552,10.722
553,10.738
554,10.762
555,10.792
556,10.832
557,10.882
558,10.94
559,10.98
560,11.03
561,11.036
562,11.062
563,11.07
564,11.104
565,11.08
566,11.082
567,11.082
568,11.116
569,11.124
570,11.158
571,11.174
