time,GA_mean,GB_mean
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.002,0.002
9,0.002,0.002
10,0.004,0.002
11,0.004,0.008
12,0.006,0.01
13,0.01,0.01
14,0.008,0.012
15,0.008,0.012
16,0.01,0.012
17,0.016,0.014
18,0.02,0.012
19,0.02,0.014
20,0.022,0.012
21,0.026,0.014
22,0.03,0.02
23,0.03,0.022
24,0.034,0.024
25,0.04,0.03
26,0.04,0.036
27,0.05,0.042
28,0.054,0.054
29,0.066,0.056
30,0.07,0.062
31,0.074,0.07
32,0.082,0.072
33,0.086,0.078
34,0.09,0.084
35,0.09,0.092
36,0.096,0.098
37,0.108,0.096
38,0.12,0.104
39,0.132,0.118
40,0.144,0.126
41,0.146,0.152
42,0.156,0.16
43,0.162,0.18
44,0.176,0.204
45,0.19,0.222
46,0.198,0.238
47,0.2,0.242
48,0.214,0.25
49,0.222,0.262
50,0.238,0.278
51,0.25,0.288
52,0.278,0.31
53,0.29,0.322
54,0.3,0.328
55,0.318,0.362
56,0.332,0.384
57,0.348,0.396
58,0.372,0.42
59,0.384,0.45
60,0.404,0.466
61,0.424,0.492
62,0.438,0.516
63,0.458,0.528
64,0.482,0.544
65,0.498,0.56
66,0.524,0.566
67,0.544,0.582
68,0.58,0.61
69,0.606,0.622
70,0.628,0.64
71,0.646,0.674
72,0.678,0.702
73,0.706,0.722
74,0.73,0.742
75,0.766,0.764
76,0.786,0.782
77,0.804,0.798
78,0.81,0.814
79,0.834,0.82
80,0.852,0.862
81,0.884,0.888
82,0.91,0.91
83,0.926,0.932
84,0.95,0.954
85,0.962,0.988
86,0.982,1.006
87,1.014,1.022
88,1.032,1.026
89,1.07,1.042
90,1.082,1.078
91,1.124,1.084
92,1.148,1.12
93,1.198,1.14
94,1.214,1.176
95,1.238,1.204
96,1.256,1.222
97,1.31,1.254
98,1.332,1.27
99,1.362,1.294
100,1.38,1.326
101,1.408,1.358
102,1.438,1.364
103,1.474,1.394
104,1.484,1.438
105,1.5,1.474
106,1.534,1.518
107,1.57,1.556
108,1.604,1.588
109,1.64,1.594
110,1.68,1.624
111,1.712,1.642
112,1.746,1.67
113,1.782,1.696
114,1.832,1.734
115,1.864,1.76
116,1.886,1.808
117,1.936,1.842
118,1.974,1.882
119,1.968,1.912
120,2.004,1.944
121,2.024,1.972
122,2.056,1.99
123,2.098,2.0
124,2.132,2.044
125,2.17,2.058
126,2.204,2.11
127,2.24,2.152
128,2.278,2.198
129,2.344,2.212
130,2.38,2.262
131,2.41,2.29
132,2.46,2.328
133,2.488,2.374
134,2.514,2.424
135,2.536,2.452
136,2.57,2.476
137,2.572,2.504
138,2.618,2.574
139,2.64,2.622
140,2.668,2.66
141,2.708,2.71
142,2.736,2.728
143,2.79,2.748
144,2.822,2.8
145,2.838,2.844
146,2.846,2.87
147,2.89,2.926
148,2.92,2.94
149,2.938,2.978
150,2.966,3.012
151,3.004,3.048
152,3.032,3.096
153,3.038,3.106
154,3.092,3.148
155,3.1,3.158
156,3.14,3.168
157,3.17,3.2
158,3.234,3.234
159,3.256,3.28
160,3.26,3.322
161,3.292,3.358
162,3.312,3.398
163,3.35,3.444
164,3.386,3.48
165,3.404,3.54
166,3.448,3.574
167,3.49,3.614
168,3.534,3.648
169,3.58,3.67
170,3.652,3.704
171,3.724,3.746
172,3.786,3.798
173,3.826,3.816
174,3.852,3.846
175,3.88,3.872
176,3.918,3.914
177,3.928,3.954
178,3.962,3.998
179,3.972,4.022
180,3.996,4.07
181,4.056,4.12
182,4.096,4.162
183,4.128,4.208
184,4.17,4.264
185,4.2,4.28
186,4.236,4.294
187,4.274,4.316
188,4.304,4.342
189,4.342,4.362
190,4.368,4.382
191,4.428,4.406
192,4.458,4.424
193,4.486,4.47
194,4.538,4.532
195,4.568,4.564
196,4.642,4.612
197,4.668,4.654
198,4.696,4.69
199,4.724,4.712
200,4.742,4.768
201,4.764,4.838
202,4.794,4.87
203,4.848,4.874
204,4.898,4.898
205,4.964,4.958
206,5.0,4.988
207,5.04,5.016
208,5.098,5.056
209,5.128,5.112
210,5.176,5.142
211,5.222,5.16
212,5.288,5.176
213,5.342,5.206
214,5.388,5.272
215,5.444,5.334
216,5.482,5.394
217,5.502,5.45
218,5.542,5.428
219,5.588,5.468
220,5.616,5.53
221,5.646,5.566
222,5.658,5.586
223,5.674,5.642
224,5.754,5.674
225,5.802,5.714
226,5.862,5.792
227,5.882,5.828
228,5.91,5.866
229,5.932,5.894
230,5.976,5.936
231,6.008,5.996
232,6.046,6.026
233,6.112,6.062
234,6.17,6.114
235,6.214,6.126
236,6.24,6.176
237,6.26,6.23
238,6.3,6.29
239,6.324,6.32
240,6.35,6.402
241,6.396,6.476
242,6.424,6.492
243,6.444,6.526
244,6.474,6.564
245,6.488,6.634
246,6.526,6.65
247,6.512,6.694
248,6.548,6.718
249,6.568,6.738
250,6.626,6.758
251,6.664,6.824
252,6.672,6.89
253,6.69,6.938
254,6.704,6.972
255,6.706,7.026
256,6.76,7.118
257,6.77,7.172
258,6.808,7.18
259,6.834,7.21
260,6.882,7.234
261,6.908,7.244
262,6.942,7.288
263,6.946,7.34
264,6.954,7.388
265,7.026,7.436
266,7.046,7.462
267,7.122,7.512
268,7.156,7.582
269,7.232,7.628
270,7.3,7.672
271,7.34,7.67
272,7.376,7.686
273,7.396,7.704
274,7.44,7.734
275,7.438,7.788
276,7.486,7.824
277,7.504,7.836
278,7.554,7.862
279,7.56,7.892
280,7.628,7.928
281,7.652,7.994
282,7.714,8.046
283,7.728,8.058
284,7.772,8.136
285,7.83,8.216
286,7.864,8.256
287,7.87,8.326
288,7.93,8.356
289,7.98,8.404
290,8.036,8.45
291,8.046,8.466
292,8.106,8.494
293,8.19,8.542
294,8.228,8.576
295,8.274,8.656
296,8.288,8.668
297,8.308,8.73
298,8.384,8.776
299,8.394,8.838
300,8.444,8.888
301,8.476,8.926
302,8.502,8.962
303,8.52,9.012
304,8.564,9.062
305,8.572,9.108
306,8.626,9.116
307,8.664,9.156
308,8.698,9.182
309,8.764,9.24
310,8.824,9.248
311,8.844,9.266
312,8.908,9.294
313,8.94,9.334
314,8.976,9.384
315,9.042,9.4
316,9.102,9.46
317,9.15,9.516
318,9.184,9.576
319,9.23,9.612
320,9.214,9.674
321,9.286,9.756
322,9.32,9.816
323,9.37,9.862
324,9.382,9.878
325,9.426,9.936
326,9.474,9.986
327,9.506,10.058
328,9.548,10.148
329,9.62,10.23
330,9.618,10.3
331,9.646,10.324
332,9.706,10.366
333,9.754,10.382
334,9.806,10.396
335,9.83,10.44
336,9.864,10.51
337,9.902,10.598
338,9.936,10.614
339,9.954,10.69
340,9.978,10.754
341,10.0,10.814
342,10.036,10.85
343,10.066,10.89
344,10.088,10.934
345,10.202,10.978
346,10.25,11.014
347,10.3,11.076
348,10.372,11.186
349,10.402,11.226
350,10.47,11.27
351,10.494,11.298
352,10.582,11.37
353,10.636,11.382
354,10.646,11.42
355,10.67,11.478
356,10.702,11.516
357,10.72,11.568
358,10.762,11.634
359,10.822,11.682
360,10.878,11.74
361,10.912,11.766
362,10.988,11.814
363,11.022,11.87
364,11.098,11.888
365,11.152,11.95
366,11.202,12.026
367,11.232,12.102
368,11.26,12.182
369,11.284,12.202
370,11.306,12.246
371,11.384,12.29
372,11.444,12.374
373,11.458,12.42
374,11.482,12.442
375,11.534,12.482
376,11.588,12.526
377,11.708,12.618
378,11.808,12.636
379,11.854,12.674
380,11.898,12.696
381,11.944,12.74
382,12.01,12.76
383,12.03,12.832
384,12.05,12.88
385,12.086,12.908
386,12.148,12.978
387,12.17,13.032
388,12.2,13.114
389,12.254,13.126
390,12.302,13.17
391,12.332,13.202
392,12.402,13.304
393,12.466,13.326
394,12.548,13.396
395,12.632,13.538
396,12.658,13.592
397,12.7,13.652
398,12.722,13.72
399,12.764,13.816
400,12.784,13.852
401,12.83,13.888
402,12.912,13.924
403,12.98,13.994
404,13.062,14.072
405,13.102,14.124
406,13.128,14.198
407,13.17,14.23
408,13.162,14.244
409,13.226,14.28
410,13.31,14.33
411,13.37,14.408
412,13.384,14.462
413,13.438,14.524
414,13.45,14.558
415,13.514,14.576
416,13.588,14.668
417,13.576,14.716
418,13.636,14.754
419,13.7,14.81
420,13.736,14.886
421,13.786,14.874
422,13.832,14.908
423,13.908,14.93
424,13.948,14.972
425,13.988,15.016
