time,GLas_mean,GLux_mean,G_total_mean
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.002,0.002
13,0.0,0.002,0.002
14,0.0,0.002,0.002
15,0.0,0.002,0.002
16,0.002,0.002,0.004
17,0.002,0.002,0.004
18,0.002,0.002,0.004
19,0.002,0.004,0.006
20,0.006,0.004,0.01
21,0.008,0.006,0.014
22,0.01,0.008,0.018
23,0.012,0.01,0.022
24,0.014,0.01,0.024
25,0.012,0.01,0.022
26,0.012,0.01,0.022
27,0.012,0.012,0.024
28,0.012,0.016,0.028
29,0.014,0.018,0.032
30,0.016,0.02,0.036
31,0.018,0.02,0.038
32,0.022,0.022,0.044
33,0.022,0.024,0.046
34,0.028,0.024,0.052
35,0.03,0.024,0.054
36,0.034,0.026,0.06
37,0.036,0.03,0.066
38,0.038,0.03,0.068
39,0.038,0.036,0.074
40,0.046,0.038,0.084
41,0.05,0.04,0.09
42,0.052,0.042,0.094
43,0.06,0.044,0.104
44,0.068,0.05,0.118
45,0.072,0.054,0.126
46,0.076,0.056,0.132
47,0.082,0.06,0.142
48,0.082,0.06,0.142
49,0.082,0.068,0.15
50,0.082,0.068,0.15
51,0.092,0.07,0.162
52,0.096,0.074,0.17
53,0.102,0.074,0.176
54,0.104,0.074,0.178
55,0.11,0.08,0.19
56,0.112,0.084,0.196
57,0.118,0.086,0.204
58,0.124,0.084,0.208
59,0.13,0.086,0.216
60,0.134,0.092,0.226
61,0.136,0.098,0.234
62,0.144,0.102,0.246
63,0.154,0.108,0.262
64,0.16,0.112,0.272
65,0.17,0.12,0.29
66,0.176,0.132,0.308
67,0.176,0.14,0.316
68,0.18,0.142,0.322
69,0.184,0.146,0.33
70,0.19,0.148,0.338
71,0.19,0.152,0.342
72,0.198,0.158,0.356
73,0.202,0.168,0.37
74,0.202,0.18,0.382
75,0.21,0.19,0.4
76,0.22,0.194,0.414
77,0.224,0.2,0.424
78,0.228,0.206,0.434
79,0.24,0.212,0.452
80,0.254,0.226,0.48
81,0.258,0.23,0.488
82,0.264,0.244,0.508
83,0.266,0.252,0.518
84,0.276,0.262,0.538
85,0.278,0.266,0.544
86,0.288,0.272,0.56
87,0.298,0.276,0.574
88,0.306,0.282,0.588
89,0.31,0.29,0.6
90,0.326,0.308,0.634
91,0.328,0.314,0.642
92,0.342,0.314,0.656
93,0.352,0.318,0.67
94,0.364,0.324,0.688
95,0.38,0.33,0.71
96,0.39,0.332,0.722
97,0.398,0.34,0.738
98,0.412,0.346,0.758
99,0.418,0.354,0.772
100,0.428,0.374,0.802
101,0.442,0.378,0.82
102,0.45,0.394,0.844
103,0.452,0.408,0.86
104,0.47,0.422,0.892
105,0.482,0.424,0.906
106,0.498,0.438,0.936
107,0.504,0.442,0.946
108,0.524,0.446,0.97
109,0.542,0.46,1.002
110,0.546,0.464,1.01
111,0.542,0.48,1.022
112,0.55,0.49,1.04
113,0.562,0.496,1.058
114,0.564,0.496,1.06
115,0.576,0.51,1.086
116,0.588,0.516,1.104
117,0.588,0.522,1.11
118,0.606,0.534,1.14
119,0.602,0.542,1.144
120,0.61,0.564,1.174
121,0.622,0.576,1.198
122,0.632,0.584,1.216
123,0.636,0.598,1.234
124,0.644,0.616,1.26
125,0.658,0.618,1.276
126,0.666,0.632,1.298
127,0.676,0.642,1.318
128,0.694,0.654,1.348
129,0.696,0.668,1.364
130,0.694,0.674,1.368
131,0.71,0.68,1.39
132,0.702,0.684,1.386
133,0.716,0.692,1.408
134,0.728,0.698,1.426
135,0.738,0.71,1.448
136,0.742,0.724,1.466
137,0.752,0.736,1.488
138,0.756,0.742,1.498
139,0.766,0.766,1.532
140,0.778,0.77,1.548
141,0.78,0.788,1.568
142,0.782,0.796,1.578
143,0.798,0.81,1.608
144,0.802,0.824,1.626
145,0.82,0.832,1.652
146,0.824,0.838,1.662
147,0.84,0.852,1.692
148,0.842,0.86,1.702
149,0.86,0.87,1.73
150,0.864,0.866,1.73
151,0.874,0.878,1.752
152,0.888,0.89,1.778
153,0.886,0.912,1.798
154,0.898,0.928,1.826
155,0.91,0.936,1.846
156,0.922,0.944,1.866
157,0.938,0.95,1.888
158,0.958,0.96,1.918
159,0.976,0.96,1.936
160,0.998,0.964,1.962
161,0.996,0.962,1.958
162,1.012,0.974,1.986
163,1.012,0.986,1.998
164,1.014,0.996,2.01
165,1.014,1.032,2.046
166,1.028,1.036,2.064
167,1.03,1.052,2.082
168,1.03,1.05,2.08
169,1.044,1.05,2.094
170,1.04,1.058,2.098
171,1.042,1.07,2.112
172,1.062,1.078,2.14
173,1.06,1.082,2.142
174,1.078,1.086,2.164
175,1.082,1.106,2.188
176,1.084,1.112,2.196
177,1.092,1.12,2.212
178,1.102,1.124,2.226
179,1.104,1.132,2.236
180,1.116,1.144,2.26
181,1.126,1.134,2.26
182,1.128,1.136,2.264
183,1.128,1.134,2.262
184,1.152,1.146,2.298
185,1.158,1.166,2.324
186,1.166,1.176,2.342
187,1.16,1.198,2.358
188,1.164,1.222,2.386
189,1.176,1.232,2.408
190,1.182,1.23,2.412
191,1.186,1.224,2.41
192,1.2,1.222,2.422
193,1.204,1.242,2.446
194,1.216,1.254,2.47
195,1.224,1.272,2.496
196,1.224,1.292,2.516
197,1.248,1.298,2.546
198,1.274,1.306,2.58
199,1.286,1.322,2.608
200,1.292,1.32,2.612
201,1.296,1.32,2.616
202,1.3,1.33,2.63
203,1.304,1.336,2.64
204,1.308,1.356,2.664
205,1.316,1.38,2.696
206,1.33,1.386,2.716
