time,mean_G
532,21.168
533,21.22
534,21.212
535,21.248
536,21.27
537,21.25
538,21.236
539,21.252
540,21.344
541,21.38
542,21.386
543,21.44
544,21.49
545,21.516
546,21.592
547,21.61
548,21.624
549,21.638
550,21.654
551,21.684
552,21.638
553,21.746
554,21.764
555,21.8
556,21.816
557,21.898
558,21.964
559,22.012
560,22.01
561,21.994
562,21.996
563,22.058
564,22.072
565,22.13
566,22.194
567,22.252
568,22.262
569,22.318
570,22.372
571,22.442
572,22.488
573,22.498
574,22.566
575,22.638
576,22.708
577,22.714
578,22.688
579,22.744
580,22.764
581,22.784
582,22.762
583,22.798
584,22.842
585,22.816
586,22.804
587,22.79
588,22.784
589,22.81
590,22.88
591,22.944
592,22.902
593,22.93
594,22.968
595,23.0
596,23.048
597,23.132
598,23.162
599,23.184
600,23.238
601,23.296
602,23.318
603,23.34
604,23.398
605,23.464
606,23.532
607,23.528
608,23.558
609,23.568
610,23.602
611,23.584
612,23.564
613,23.624
614,23.72
615,23.756
616,23.812
617,23.852
618,23.896
619,23.918
620,23.948
621,23.936
622,23.964
623,24.024
624,24.052
625,24.036
626,24.076
627,24.114
628,24.13
629,24.12
630,24.106
631,24.08
632,24.142
633,24.096
634,24.108
635,24.134
636,24.158
637,24.208
638,24.274
639,24.242
640,24.304
641,24.352
642,24.358
643,24.366
644,24.398
645,24.452
646,24.446
647,24.454
648,24.494
649,24.536
650,24.57
651,24.592
652,24.644
653,24.616
654,24.644
655,24.656
656,24.714
657,24.764
658,24.804
659,24.832
660,24.842
661,24.858
662,24.914
663,24.948
664,25.03
665,25.042
666,25.058
667,25.046
668,25.08
669,25.094
670,25.14
671,25.146
672,25.218
673,25.224
674,25.266
675,25.322
676,25.362
677,25.376
678,25.43
679,25.504
680,25.55
681,25.554
682,25.57
683,25.562
684,25.594
685,25.63
686,25.642
687,25.618
688,25.588
689,25.602
690,25.656
691,25.656
692,25.69
693,25.704
694,25.766
695,25.794
696,25.86
697,25.862
698,25.87
699,25.866
700,25.874
701,25.89
702,25.966
703,25.96
704,25.92
705,25.958
706,25.962
707,26.008
708,26.046
709,26.028
710,26.048
711,26.126
712,26.124
713,26.092
714,26.152
715,26.144
716,26.138
717,26.186
718,26.184
719,26.24
720,26.248
721,26.29
722,26.276
723,26.298
724,26.316
725,26.278
726,26.302
727,26.308
728,26.264
729,26.3
730,26.356
731,26.354
732,26.418
733,26.478
734,26.466
735,26.476
736,26.484
737,26.55
738,26.538
739,26.576
740,26.558
741,26.546
742,26.53
743,26.61
744,26.658
745,26.682
746,26.64
747,26.6
748,26.608
749,26.596
750,26.598
751,26.642
752,26.656
753,26.702
754,26.682
755,26.684
756,26.718
757,26.764
758,26.766
759,26.816
760,26.838
761,26.826
762,26.844
763,26.9
764,26.882
765,26.914
766,26.888
767,26.916
768,26.952
769,26.95
770,26.93
771,26.93
772,26.96
773,26.898
774,26.918
775,26.94
776,26.904
777,26.922
778,26.98
779,26.984
780,26.982
781,26.996
782,26.996
783,26.97
784,26.946
785,26.944
786,26.99
787,27.024
788,27.038
789,27.026
790,27.008
791,27.022
792,27.016
793,26.962
794,26.964
795,26.97
796,27.032
797,27.062
798,27.046
799,27.038
800,26.998
801,27.008
802,27.036
803,27.028
804,27.022
805,27.058
806,27.06
807,27.072
808,27.116
809,27.134
810,27.162
811,27.204
812,27.306
813,27.282
814,27.358
815,27.382
816,27.318
817,27.338
818,27.382
819,27.382
820,27.418
821,27.446
822,27.458
823,27.44
824,27.436
825,27.438
826,27.504
827,27.564
828,27.626
829,27.666
830,27.686
831,27.698
832,27.668
833,27.682
834,27.65
835,27.634
836,27.618
837,27.65
838,27.678
839,27.734
840,27.716
841,27.72
842,27.766
843,27.758
844,27.766
845,27.828
846,27.83
847,27.79
848,27.792
849,27.784
850,27.742
851,27.68
852,27.748
853,27.798
854,27.784
855,27.8
856,27.76
857,27.778
858,27.832
859,27.852
860,27.868
861,27.844
862,27.824
863,27.804
864,27.712
865,27.738
866,27.756
867,27.698
868,27.716
869,27.72
870,27.714
871,27.762
872,27.736
873,27.702
874,27.718
875,27.69
876,27.7
877,27.74
878,27.752
879,27.738
880,27.78
881,27.768
882,27.814
883,27.804
884,27.786
885,27.816
886,27.8
887,27.832
888,27.782
889,27.818
890,27.85
891,27.872
892,27.82
893,27.816
894,27.838
895,27.766
896,27.784
897,27.816
898,27.786
899,27.804
900,27.848
901,27.872
902,27.81
903,27.84
904,27.898
905,27.912
906,27.912
907,27.91
908,27.896
909,27.884
910,27.86
911,27.922
912,27.888
913,27.958
914,27.946
915,27.956
916,27.936
917,27.978
918,28.032
919,28.038
920,28.042
921,28.018
922,28.012
923,28.036
924,28.06
925,28.022
926,27.996
927,27.994
928,28.026
929,28.094
930,28.094
931,28.12
932,28.146
933,28.134
934,28.13
935,28.204
936,28.226
937,28.17
938,28.278
939,28.236
940,28.26
941,28.35
942,28.414
943,28.416
944,28.456
945,28.468
946,28.458
947,28.456
948,28.446
949,28.512
950,28.496
951,28.454
952,28.458
953,28.494
954,28.444
955,28.412
956,28.462
957,28.504
958,28.516
959,28.598
960,28.552
961,28.528
962,28.538
963,28.556
964,28.552
965,28.548
966,28.558
967,28.574
968,28.664
969,28.668
970,28.636
971,28.618
972,28.602
973,28.612
974,28.64
975,28.648
976,28.642
977,28.66
978,28.662
979,28.686
980,28.672
981,28.662
982,28.638
983,28.604
984,28.64
985,28.626
986,28.656
987,28.636
988,28.586
989,28.572
990,28.548
991,28.564
992,28.534
993,28.528
994,28.548
995,28.606
996,28.596
997,28.6
998,28.612
999,28.65
1000,28.654
1001,28.662
1002,28.574
1003,28.55
1004,28.538
1005,28.566
1006,28.53
1007,28.564
1008,28.556
1009,28.552
1010,28.548
1011,28.508
1012,28.52
1013,28.546
1014,28.544
1015,28.556
1016,28.57
1017,28.524
1018,28.522
1019,28.528
1020,28.542
1021,28.52
1022,28.57
1023,28.562
1024,28.616
1025,28.61
1026,28.656
1027,28.708
