time,GA_mean,GB_mean
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.002
19,0.0,0.002
20,0.0,0.004
21,0.0,0.004
22,0.0,0.004
23,0.0,0.006
24,0.0,0.006
25,0.0,0.006
26,0.0,0.006
27,0.0,0.006
28,0.0,0.008
29,0.0,0.01
30,0.0,0.014
31,0.0,0.016
32,0.0,0.018
33,0.0,0.018
34,0.0,0.018
35,0.0,0.018
36,0.0,0.026
37,0.0,0.028
38,0.0,0.03
39,0.0,0.03
40,0.0,0.03
41,0.0,0.032
42,0.0,0.036
43,0.0,0.034
44,0.0,0.04
45,0.0,0.042
46,0.0,0.046
47,0.0,0.052
48,0.0,0.058
49,0.0,0.064
50,0.0,0.072
51,0.0,0.074
52,0.0,0.074
53,0.0,0.076
54,0.0,0.078
55,0.0,0.084
56,0.0,0.088
57,0.0,0.102
58,0.0,0.112
59,0.0,0.126
60,0.0,0.132
61,0.0,0.138
62,0.0,0.15
63,0.0,0.152
64,0.0,0.162
65,0.0,0.182
66,0.0,0.188
67,0.0,0.19
68,0.0,0.204
69,0.0,0.204
70,0.0,0.214
71,0.0,0.226
72,0.0,0.23
73,0.0,0.24
74,0.0,0.248
75,0.0,0.254
76,0.0,0.258
77,0.0,0.266
78,0.0,0.28
79,0.0,0.276
80,0.0,0.282
81,0.0,0.284
82,0.0,0.288
83,0.0,0.292
84,0.0,0.298
85,0.0,0.302
86,0.0,0.304
87,0.0,0.326
88,0.0,0.33
89,0.0,0.342
90,0.0,0.346
91,0.0,0.362
92,0.0,0.366
93,0.0,0.378
94,0.0,0.382
95,0.0,0.388
96,0.0,0.392
97,0.0,0.406
98,0.0,0.416
99,0.0,0.42
100,0.0,0.43
101,0.0,0.428
102,0.0,0.426
103,0.0,0.43
104,0.0,0.438
105,0.0,0.442
106,0.0,0.45
107,0.0,0.456
108,0.0,0.466
109,0.0,0.474
110,0.0,0.482
111,0.0,0.496
112,0.0,0.508
113,0.0,0.518
114,0.0,0.52
115,0.0,0.534
116,0.0,0.544
117,0.0,0.554
118,0.0,0.552
119,0.0,0.558
120,0.0,0.572
121,0.0,0.58
122,0.0,0.586
123,0.0,0.596
124,0.0,0.61
125,0.0,0.62
126,0.0,0.63
127,0.0,0.644
128,0.0,0.674
129,0.0,0.69
130,0.0,0.702
131,0.0,0.72
132,0.0,0.722
133,0.0,0.716
134,0.0,0.726
135,0.0,0.728
136,0.0,0.736
137,0.0,0.74
138,0.0,0.752
139,0.0,0.77
140,0.0,0.784
141,0.0,0.792
142,0.0,0.808
143,0.0,0.802
144,0.0,0.816
145,0.0,0.822
146,0.0,0.818
147,0.0,0.832
148,0.0,0.84
149,0.0,0.846
150,0.0,0.85
151,0.0,0.866
152,0.0,0.884
153,0.0,0.894
154,0.0,0.914
155,0.0,0.93
156,0.0,0.938
157,0.0,0.952
158,0.0,0.956
159,0.0,0.964
160,0.0,0.974
161,0.0,0.988
162,0.0,0.994
163,0.0,1.006
164,0.0,1.006
165,0.0,1.004
166,0.0,1.016
167,0.0,1.022
168,0.0,1.03
169,0.0,1.036
170,0.0,1.042
171,0.0,1.066
172,0.0,1.084
173,0.0,1.106
174,0.0,1.112
175,0.0,1.114
176,0.0,1.116
177,0.0,1.128
178,0.0,1.128
179,0.0,1.146
180,0.0,1.164
181,0.0,1.16
182,0.0,1.164
183,0.0,1.178
184,0.0,1.186
185,0.0,1.198
186,0.0,1.2
187,0.0,1.196
188,0.0,1.198
189,0.0,1.202
190,0.0,1.232
191,0.0,1.242
192,0.0,1.26
193,0.0,1.274
194,0.0,1.284
195,0.0,1.298
196,0.0,1.308
197,0.0,1.312
198,0.0,1.33
199,0.0,1.332
200,0.0,1.346
201,0.0,1.34
202,0.0,1.352
203,0.0,1.366
204,0.0,1.376
205,0.0,1.392
206,0.0,1.394
207,0.0,1.388
208,0.0,1.396
209,0.0,1.41
210,0.0,1.422
211,0.0,1.444
212,0.0,1.45
213,0.0,1.446
214,0.0,1.452
215,0.0,1.448
216,0.0,1.45
217,0.0,1.468
218,0.0,1.472
219,0.0,1.49
220,0.0,1.488
221,0.0,1.5
222,0.0,1.506
223,0.0,1.52
224,0.0,1.536
225,0.0,1.55
226,0.0,1.576
227,0.0,1.594
228,0.0,1.608
229,0.0,1.61
230,0.0,1.632
231,0.0,1.634
232,0.0,1.636
233,0.0,1.636
234,0.0,1.634
235,0.0,1.618
236,0.0,1.632
237,0.0,1.656
238,0.0,1.654
239,0.0,1.676
240,0.0,1.69
241,0.0,1.684
242,0.0,1.71
243,0.0,1.722
244,0.0,1.73
245,0.0,1.738
246,0.0,1.746
247,0.0,1.756
248,0.0,1.766
249,0.0,1.776
250,0.0,1.782
251,0.0,1.792
252,0.0,1.808
253,0.0,1.83
254,0.0,1.832
255,0.0,1.836
256,0.0,1.818
257,0.0,1.83
258,0.0,1.834
259,0.0,1.838
260,0.0,1.862
261,0.0,1.866
262,0.0,1.896
263,0.0,1.918
264,0.0,1.924
265,0.0,1.932
266,0.0,1.924
267,0.0,1.938
268,0.0,1.94
269,0.0,1.954
270,0.0,1.968
271,0.0,1.984
272,0.0,1.99
273,0.0,2.01
274,0.0,2.026
275,0.0,2.044
276,0.0,2.068
277,0.0,2.066
278,0.0,2.07
279,0.0,2.062
280,0.0,2.08
281,0.0,2.08
282,0.0,2.1
283,0.0,2.106
284,0.0,2.114
285,0.0,2.114
286,0.0,2.12
287,0.0,2.144
288,0.0,2.14
289,0.0,2.138
290,0.0,2.144
291,0.0,2.172
292,0.0,2.176
293,0.0,2.198
294,0.0,2.216
295,0.0,2.214
296,0.0,2.208
297,0.0,2.218
298,0.0,2.216
299,0.0,2.226
300,0.0,2.222
301,0.0,2.232
302,0.0,2.244
303,0.0,2.258
304,0.0,2.254
305,0.0,2.268
306,0.0,2.276
307,0.0,2.282
308,0.0,2.29
309,0.0,2.284
310,0.0,2.314
311,0.0,2.332
312,0.0,2.344
313,0.0,2.362
314,0.0,2.374
315,0.0,2.38
316,0.0,2.388
317,0.0,2.404
318,0.0,2.416
319,0.0,2.424
320,0.0,2.444
321,0.0,2.446
322,0.0,2.472
323,0.0,2.478
324,0.0,2.494
325,0.0,2.494
326,0.0,2.504
327,0.0,2.514
328,0.0,2.518
329,0.0,2.522
330,0.0,2.512
331,0.0,2.524
332,0.0,2.538
333,0.0,2.548
334,0.0,2.564
335,0.0,2.578
336,0.0,2.584
337,0.0,2.59
338,0.0,2.594
339,0.0,2.602
340,0.0,2.604
341,0.0,2.63
342,0.0,2.632
343,0.0,2.634
344,0.0,2.628
345,0.0,2.626
346,0.0,2.65
347,0.0,2.654
348,0.0,2.682
349,0.0,2.716
350,0.0,2.728
351,0.0,2.74
352,0.0,2.754
353,0.0,2.748
354,0.0,2.754
355,0.0,2.762
356,0.0,2.764
357,0.0,2.784
358,0.0,2.812
359,0.0,2.832
360,0.0,2.856
361,0.0,2.876
362,0.0,2.896
363,0.0,2.918
364,0.0,2.922
365,0.0,2.92
366,0.0,2.932
367,0.0,2.928
368,0.0,2.946
369,0.0,2.982
370,0.0,2.98
371,0.0,2.966
372,0.0,2.976
373,0.0,2.968
374,0.0,2.99
375,0.0,3.018
376,0.0,3.018
377,0.0,3.036
378,0.0,3.04
379,0.0,3.07
380,0.0,3.08
381,0.0,3.07
382,0.0,3.08
383,0.0,3.09
384,0.0,3.094
385,0.0,3.108
386,0.0,3.126
387,0.0,3.134
388,0.0,3.162
389,0.0,3.188
390,0.0,3.2
391,0.0,3.228
392,0.0,3.254
393,0.0,3.266
394,0.0,3.296
395,0.0,3.292
396,0.0,3.3
397,0.0,3.31
398,0.0,3.306
399,0.0,3.312
400,0.0,3.326
401,0.0,3.32
402,0.0,3.328
403,0.0,3.338
404,0.0,3.362
405,0.0,3.354
406,0.0,3.37
407,0.0,3.378
408,0.0,3.384
409,0.0,3.408
410,0.0,3.42
411,0.0,3.428
412,0.0,3.428
413,0.0,3.426
414,0.0,3.46
415,0.0,3.454
416,0.0,3.5
417,0.0,3.498
418,0.0,3.51
419,0.0,3.546
420,0.0,3.55
421,0.0,3.57
422,0.0,3.57
423,0.0,3.576
424,0.0,3.594
425,0.0,3.602
